onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.502	2.7326	0.1654	0	20.625	-0.9792	client_1	accept	positive
10.752	2.7326	-0.1916	0	-15.375	8.0208	client_1	accept	positive
17.502	2.7326	-0.0456	0	3.625	-8.9792	client_1	reject	negative
25.502	2.7326	-0.0636	0	-5.375	-5.9792	client_1	accept	negative
31.002	2.7326	0.1414	0	-9.375	-13.9792	client_1	accept	negative
41.002	2.7326	0.2054	0	-8.375	-3.9792	client_1	reject	positive
46.752	2.7326	0.0704	0	5.625	8.0208	client_2	reject	negative
54.752	2.7326	-0.0986	0	4.625	6.0208	client_2	accept	negative
64.752	2.7326	-0.0096	0	-14.375	2.0208	client_2	reject	positive
71.002	2.7326	-0.0326	0	-3.375	14.0208	client_2	accept	positive
79.502	2.7326	-0.0766	0	-9.375	-2.9792	client_1	reject	positive
86.002	2.7326	-0.0456	0	23.625	-1.9792	client_2	accept	negative
93.002	2.7326	0.1824	0	19.625	2.0208	client_2	reject	negative
100.502	2.7326	-0.1186	0	-16.375	17.0208	client_2	accept	positive
106.752	2.7326	-0.1216	0	-17.375	15.0208	client_2	accept	negative
114.002	2.7326	-0.0556	0	10.625	9.0208	client_2	accept	positive
121.752	2.7326	-0.0906	0	23.625	1.0208	client_1	accept	positive
127.752	2.7326	-0.0776	0	-6.375	-5.9792	client_1	reject	positive
137.502	2.7326	0.0974	0	-10.375	-12.9792	client_2	reject	positive
147.002	2.7326	-0.0376	0	24.625	-1.9792	client_1	accept	positive
157.252	2.7326	-0.0946	0	-4.375	-18.9792	client_1	reject	positive
167.502	2.7326	0.1394	0	15.625	-19.9792	client_1	accept	positive
178.502	2.7326	-0.1336	0	-2.375	-20.9792	client_2	reject	positive
185.002	2.7326	0.1294	0	5.625	11.0208	client_2	accept	positive
194.752	2.7326	0.0874	0	6.625	-16.9792	client_1	reject	positive
204.252	2.7326	0.0144	0	-4.375	12.0208	client_2	accept	positive
213.252	2.7326	0.0854	0	-12.375	-10.9792	client_1	reject	positive
219.002	2.7326	-0.1316	0	-2.375	-8.9792	client_2	reject	positive
226.252	2.7326	0.0504	0	22.625	1.0208	client_2	reject	negative
235.002	2.7326	-0.0216	0	-3.375	-19.9792	client_1	reject	positive
242.002	2.7326	-0.1266	0	3.625	-26.9792	client_1	reject	positive
248.502	2.7326	0.0954	0	1.625	12.0208	client_1	accept	positive
254.252	2.7326	-0.0416	0	-10.375	-1.9792	client_1	reject	positive
260.252	2.7326	-0.1126	0	-23.375	15.0208	client_2	accept	negative
269.002	2.7326	0.0914	0	-16.375	9.0208	client_1	reject	negative
275.002	2.7326	-0.1946	0	-0.375	13.0208	client_1	accept	positive
280.752	2.7326	-0.0816	0	-17.375	17.0208	client_2	accept	positive
286.252	2.7326	-0.1426	0	-4.375	9.0208	client_2	reject	positive
296.002	2.7326	0.2274	0	-0.375	-5.9792	client_2	accept	negative
301.502	2.7326	-0.0826	0	-4.375	-1.9792	client_1	reject	negative
314.002	2.7326	-0.0566	0	0.625	13.0208	client_2	accept	positive
323.252	2.7326	0.0054	0	-23.375	0.0208	client_1	reject	positive
329.502	2.7326	0.1344	0	12.625	5.0208	client_1	accept	positive
335.252	2.7326	0.3924	0	10.625	-14.9792	client_1	accept	positive
344.002	2.7326	-0.0576	0	-5.375	15.0208	client_2	accept	positive
354.002	2.7326	0.0174	0	6.625	10.0208	client_2	reject	negative
359.752	2.7326	0.0274	0	20.625	-0.9792	client_2	accept	negative
365.502	2.7326	-0.0176	0	7.625	5.0208	client_2	reject	positive
