onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
5.002	2.9902	-0.3482	0	6.6875	11.1042	client_2	accept	positive
10.752	2.9902	-0.0702	0	-4.3125	-6.8958	client_1	reject	positive
17.502	2.9902	-0.3552	0	23.6875	-0.8958	client_2	accept	negative
25.002	2.9902	0.0918	0	2.6875	-13.8958	client_1	reject	positive
32.502	2.9902	0.2188	0	-4.3125	15.1042	client_2	accept	positive
42.502	2.9902	-0.1002	0	16.6875	2.1042	client_1	accept	positive
50.002	2.9902	0.1738	0	-10.3125	12.1042	client_2	reject	positive
56.502	2.9902	-0.3382	0	-19.3125	21.1042	client_2	accept	positive
64.752	2.9902	0.0328	0	22.6875	2.1042	client_1	accept	positive
72.252	2.9902	0.1338	0	10.6875	-14.8958	client_2	reject	positive
77.752	2.9902	-0.1292	0	3.6875	-26.8958	client_2	reject	positive
85.002	2.9902	-0.1692	0	8.6875	10.1042	client_2	accept	positive
92.002	2.9902	0.0928	0	2.6875	7.1042	client_2	reject	positive
100.752	2.9902	0.7708	0	-3.3125	-19.8958	client_1	reject	positive
106.503	2.9902	-0.1052	0	-19.3125	6.1042	client_1	reject	positive
112.252	2.9902	-0.1792	0	21.6875	2.1042	client_2	accept	positive
118.502	2.9902	0.2548	0	14.6875	-23.8958	client_1	reject	positive
127.752	2.9902	-0.0022	0	-26.3125	18.1042	client_1	accept	positive
135.752	2.9902	0.1958	0	10.6875	6.1042	client_2	accept	positive
141.502	2.9902	0.0618	0	15.6875	2.1042	client_2	reject	positive
149.502	2.9902	-0.0952	0	0.6875	-23.8958	client_1	reject	positive
158.502	2.9902	-0.1412	0	-12.3125	-10.8958	client_2	reject	positive
166.002	2.9902	-0.0822	0	-19.3125	18.1042	client_2	accept	positive
171.502	2.9902	0.0598	0	1.6875	10.1042	client_1	accept	positive
178.002	2.9902	0.0068	0	-0.3125	14.1042	client_2	accept	positive
185.252	2.9902	-0.0752	0	-16.3125	17.1042	client_2	accept	positive
192.252	2.9902	0.2338	0	-3.3125	-2.8958	client_1	reject	negative
198.252	2.9902	-0.1832	0	-4.3125	-1.8958	client_1	accept	positive
205.252	2.9902	0.2218	0	11.6875	4.1042	client_2	reject	positive
214.252	2.9902	0.2118	0	11.6875	6.1042	client_2	accept	positive
220.252	2.9902	-0.0132	0	-13.3125	-9.8958	client_1	reject	positive
227.502	2.9902	-0.1622	0	24.6875	1.1042	client_2	accept	positive
234.502	2.9902	-0.2612	0	0.6875	13.1042	client_1	accept	positive
244.002	2.9902	0.0248	0	-13.3125	19.1042	client_2	accept	positive
251.752	2.9902	0.2758	0	8.6875	-18.8958	client_1	reject	positive
264.252	2.9902	-0.0592	0	6.6875	-16.8958	client_1	reject	positive
270.002	2.9902	0.1968	0	-6.3125	0.1042	client_1	reject	negative
279.752	2.9902	-0.0722	0	-20.3125	-2.8958	client_1	reject	positive
285.752	2.9902	-0.1052	0	-10.3125	-1.8958	client_2	reject	positive
293.002	2.9902	-0.1692	0	-25.3125	17.1042	client_2	accept	negative
302.752	2.9902	0.3188	0	15.6875	-24.8958	client_2	reject	positive
312.752	2.9902	-0.0022	0	-12.3125	-10.8958	client_1	reject	positive
323.002	2.9902	-0.1052	0	21.6875	0.1042	client_1	accept	positive
335.252	2.9902	0.3118	0	1.6875	-6.8958	client_1	accept	positive
344.252	2.9902	-0.0612	0	9.6875	-13.8958	client_1	accept	positive
350.502	2.9902	-0.3222	0	-16.3125	15.1042	client_2	accept	negative
356.502	2.9902	-0.1152	0	-5.3125	16.1042	client_1	accept	positive
362.502	2.9902	-0.0662	0	-10.3125	-12.8958	client_1	reject	positive
