onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.252	1.9526	client_2	14.25	-2.75	accept	0	0.1624
7.252	1.9526	client_2	2.25	5.25	accept	0	0.0024
18.502	1.9526	client_2	10.25	5.25	accept	0	-0.1626
26.502	1.9526	client_2	14.25	5.25	accept	0	-0.3316
33.252	1.9526	client_2	10.25	1.25	accept	0	0.4374
37.752	1.9526	client_1	10.25	-0.75	accept	0	0.4494
49.252	1.9526	client_2	-9.75	5.25	reject	0	-0.0156
57.752	1.9526	client_1	-5.75	-2.75	accept	0	-0.0126
63.002	1.9526	client_2	2.25	3.25	accept	0	-0.0476
70.752	1.9526	client_2	-13.75	-0.75	reject	0	-0.0606
77.502	1.9526	client_2	2.25	-6.75	reject	0	0.1014
82.252	1.9526	client_2	-9.75	-4.75	reject	0	-0.0496
88.002	1.9526	client_1	14.25	-4.75	accept	0	0.1014
95.252	1.9526	client_1	-5.75	7.25	accept	0	-0.2656
99.752	1.9526	client_1	6.25	-0.75	accept	0	-0.0126
104.252	1.9526	client_1	2.25	5.25	accept	0	-0.2156
108.752	1.9526	client_2	-13.75	-6.75	reject	0	-0.2336
114.252	1.9526	client_1	2.25	3.25	accept	0	0.2554
118.752	1.9526	client_1	-1.75	-2.75	accept	0	-0.2406
123.502	1.9526	client_1	-13.75	-4.75	reject	0	-0.3966
128.502	1.9526	client_1	10.25	-4.75	accept	0	0.2654
137.002	1.9526	client_1	14.25	3.25	accept	0	-0.2106
143.502	1.9526	client_2	6.25	-4.75	accept	0	-0.1976
152.002	1.9526	client_2	-9.75	-0.75	reject	0	0.0274
157.252	1.9526	client_2	6.25	5.25	accept	0	-0.0046
162.002	1.9526	client_1	6.25	-4.75	accept	0	-0.2126
167.002	1.9526	client_2	-13.75	1.25	reject	0	0.0354
173.752	1.9526	client_2	-5.75	1.25	accept	0	0.4784
181.752	1.9526	client_1	-1.75	-6.75	accept	0	0.0654
192.502	1.9526	client_1	-1.75	1.25	accept	0	-0.0416
203.002	1.9526	client_1	-9.75	7.25	accept	0	-0.3246
207.752	1.9526	client_2	-9.75	7.25	accept	0	0.1354
212.502	1.9526	client_2	2.25	1.25	reject	0	-0.1166
219.502	1.9526	client_1	2.25	-0.75	accept	0	-0.0476
225.252	1.9526	client_2	6.25	-0.75	reject	0	0.3814
231.002	1.9526	client_2	2.25	-2.75	reject	0	0.0084
242.502	1.9526	client_1	-1.75	5.25	accept	0	-0.4266
250.502	1.9526	client_2	14.25	1.25	accept	0	-0.1036
255.252	1.9526	client_1	6.25	5.25	accept	0	-0.0036
260.252	1.9526	client_2	2.25	-4.75	reject	0	-0.2586
268.252	1.9526	client_1	-13.75	-6.75	reject	0	-0.2076
273.252	1.9526	client_1	-5.75	-6.75	reject	0	-0.3586
278.252	1.9526	client_1	-5.75	-4.75	reject	0	0.4844
282.752	1.9526	client_2	6.25	-6.75	reject	0	0.8444
287.253	1.9526	client_1	-5.75	3.25	accept	0	0.1004
295.502	1.9526	client_2	6.25	3.25	accept	0	-0.1416
300.002	1.9526	client_2	6.25	-2.75	accept	0	0.0974
306.752	1.9526	client_2	10.25	3.25	accept	0	-0.2656
312.002	1.9526	client_1	14.25	-2.75	accept	0	-0.2576
320.002	1.9526	client_1	10.25	5.25	accept	0	-0.4316
329.002	1.9526	client_1	-13.75	-0.75	reject	0	-0.0716
333.502	1.9526	client_2	-5.75	-0.75	reject	0	0.0034
341.752	1.9526	client_2	-9.75	-6.75	reject	0	-0.2586
351.002	1.9526	client_1	-1.75	-0.75	accept	0	-0.1376
356.252	1.9526	client_1	-9.75	-2.75	reject	0	-0.2386
362.752	1.9526	client_2	10.25	-0.75	accept	0	0.7794
368.502	1.9526	client_2	6.25	1.25	reject	0	0.3224
376.502	1.9526	client_1	-9.75	1.25	accept	0	0.0734
381.502	1.9526	client_2	-1.75	-6.75	reject	0	-0.1356
387.252	1.9526	client_1	-13.75	1.25	reject	0	-0.1926
393.002	1.9526	client_1	14.25	5.25	accept	0	-0.2096
398.502	1.9526	client_1	-13.75	7.25	accept	0	-0.0856
407.502	1.9526	client_2	-5.75	7.25	accept	0	0.3344
414.002	1.9526	client_1	-9.75	-0.75	accept	0	1.0364
