onset	duration	normalized_rt	gains	losses	missing_trials	outcome
4.252	1.1113	1.3887	-6.0	-3.0	1	n/a
8.502	1.1113	-0.2723	6.0	-3.0	0	accept
13.002	1.1113	-0.1473	6.0	-5.0	0	accept
18.752	1.1113	-0.0943	-10.0	7.0	0	accept
22.502	1.1113	-0.0183	10.0	-5.0	0	accept
26.252	1.1113	0.0017	-10.0	-5.0	0	reject
34.252	1.1113	0.0507	-6.0	-1.0	0	accept
40.002	1.1113	0.1077	-6.0	5.0	0	accept
44.002	1.1113	-0.0223	6.0	1.0	0	accept
47.503	1.1113	-0.0163	14.0	-5.0	0	accept
52.502	1.1113	0.0057	14.0	3.0	0	accept
57.002	1.1113	-0.1443	10.0	1.0	0	accept
60.752	1.1113	-0.0563	2.0	-1.0	0	accept
66.002	1.1113	-0.2353	14.0	-3.0	0	accept
71.752	1.1113	0.3307	2.0	-5.0	0	reject
77.752	1.1113	-0.1123	6.0	-1.0	0	accept
87.752	1.1113	-0.2413	6.0	7.0	0	accept
91.502	1.1113	-0.0433	6.0	3.0	0	accept
99.502	1.1113	-0.0333	14.0	-1.0	0	accept
105.002	1.1113	-0.2583	14.0	5.0	0	accept
110.252	1.1113	0.2327	-6.0	1.0	0	reject
113.752	1.1113	0.3677	-10.0	-7.0	0	reject
120.252	1.1113	-0.1453	10.0	-7.0	0	accept
127.752	1.1113	-0.1773	2.0	5.0	0	accept
131.502	1.1113	-0.2613	10.0	7.0	0	accept
138.752	1.1113	-0.0953	-6.0	-5.0	0	reject
142.502	1.1113	-0.0383	-6.0	-7.0	0	reject
151.752	1.1113	0.3077	-10.0	5.0	0	accept
157.502	1.1113	-0.0773	10.0	-3.0	0	accept
161.752	1.1113	-0.0863	-2.0	3.0	0	accept
165.502	1.1113	0.0087	10.0	-1.0	0	accept
170.002	1.1113	0.0697	2.0	-3.0	0	reject
175.252	1.1113	-0.2863	-10.0	-3.0	0	reject
180.502	1.1113	0.4387	-2.0	1.0	0	accept
187.502	1.1113	-0.3183	14.0	7.0	0	accept
198.002	1.1113	-0.2503	-10.0	3.0	0	accept
202.252	1.1113	0.0847	-2.0	-3.0	0	reject
205.752	1.1113	0.0707	2.0	-7.0	0	accept
209.502	1.1113	-0.1943	-2.0	-5.0	0	accept
218.752	1.1113	-0.0743	2.0	7.0	0	accept
223.752	1.1113	-0.2553	10.0	3.0	0	accept
227.252	1.1113	0.2747	-2.0	-7.0	0	reject
237.252	1.1113	-0.2493	-10.0	-1.0	0	reject
241.002	1.1113	0.2247	-14.0	-3.0	0	reject
245.252	1.1113	-0.3383	-14.0	-5.0	0	reject
252.002	1.1113	0.0387	-6.0	7.0	0	accept
259.252	1.1113	-0.2013	2.0	3.0	0	accept
265.502	1.1113	0.2507	2.0	1.0	0	accept
274.252	1.1113	0.0277	14.0	-7.0	0	accept
279.502	1.1113	0.4497	-14.0	7.0	0	reject
283.503	1.1113	-0.1943	10.0	5.0	0	accept
288.752	1.1113	0.6817	-10.0	1.0	0	reject
294.252	1.1113	0.6727	-2.0	5.0	0	accept
304.502	1.1113	0.2387	-6.0	3.0	0	accept
308.752	1.1113	0.0417	-2.0	-1.0	0	reject
313.252	1.1113	-0.1483	-14.0	1.0	0	reject
319.252	1.1113	-0.0423	-14.0	-1.0	0	reject
324.002	1.1113	-0.1413	-14.0	-7.0	0	reject
328.752	1.1113	0.3287	-14.0	5.0	0	reject
332.252	1.1113	-0.2033	6.0	5.0	0	accept
337.752	1.1113	-0.1483	-2.0	7.0	0	accept
342.002	1.1113	-0.2353	-14.0	3.0	0	reject
346.252	1.1113	0.3587	14.0	1.0	0	accept
351.502	1.1113	0.1917	6.0	-7.0	0	reject
