onset	duration	normalized_rt	gains	losses	missing_trials	outcome
2.003	1.4187	0.1973	14.0	5.0	0	accept
7.502	1.4187	-0.6257	10.0	7.0	0	accept
15.502	1.4187	-0.6787	6.0	3.0	0	accept
23.752	1.4187	-0.4877	-2.0	7.0	0	accept
27.752	1.4187	-0.2067	-6.0	5.0	0	accept
35.252	1.4187	0.4713	-10.0	-7.0	0	reject
40.002	1.4187	-0.1177	-6.0	1.0	0	accept
43.502	1.4187	-0.0467	10.0	-5.0	0	accept
48.752	1.4187	-0.1327	-10.0	-5.0	0	reject
52.752	1.4187	-0.1807	10.0	-7.0	0	accept
57.252	1.4187	-0.0337	-2.0	-1.0	0	accept
62.502	1.4187	-0.2587	-6.0	7.0	0	accept
66.752	1.4187	-0.0657	2.0	7.0	0	accept
70.502	1.4187	-0.2717	-10.0	7.0	0	accept
74.252	1.4187	-0.0967	10.0	3.0	0	accept
77.752	1.4187	-0.0347	2.0	-3.0	0	accept
83.752	1.4187	0.4653	2.0	-7.0	0	accept
87.502	1.4187	0.3393	14.0	-3.0	0	accept
98.002	1.4187	-0.3827	-14.0	-5.0	0	reject
105.502	1.4187	0.8273	10.0	-3.0	0	accept
111.252	1.4187	0.1363	6.0	-7.0	0	accept
121.502	1.4187	-0.0277	-10.0	5.0	0	accept
126.502	1.4187	-0.2637	-2.0	1.0	0	accept
130.002	1.4187	0.5343	-10.0	1.0	0	accept
137.502	1.4187	-0.3597	10.0	5.0	0	accept
143.752	1.4187	-0.1727	14.0	-5.0	0	accept
149.002	1.4187	-0.4047	6.0	5.0	0	accept
154.252	1.4187	-0.6267	6.0	7.0	0	accept
158.252	1.4187	0.1323	-2.0	5.0	0	accept
162.752	1.4187	-0.0417	14.0	3.0	0	accept
169.502	1.4187	-0.1177	-10.0	3.0	0	accept
176.502	1.4187	-0.2927	-14.0	-3.0	0	reject
183.252	1.4187	-0.4427	-10.0	-3.0	0	reject
187.252	1.4187	-0.0517	6.0	1.0	0	accept
193.252	1.4187	1.0663	10.0	-1.0	0	accept
197.502	1.4187	0.7953	10.0	1.0	0	accept
201.502	1.4187	-0.0437	-10.0	-1.0	0	reject
206.252	1.4187	-0.0047	6.0	-1.0	0	accept
210.502	1.4187	0.7013	14.0	1.0	0	accept
218.752	1.4187	1.0813	-14.0	5.0	1	n/a
224.752	1.4187	-0.2897	-2.0	3.0	0	accept
228.752	1.4187	-0.2727	14.0	-1.0	0	accept
233.502	1.4187	-0.3217	2.0	5.0	0	accept
237.253	1.4187	-0.1357	14.0	7.0	0	accept
242.002	1.4187	-0.2027	-6.0	3.0	0	accept
245.502	1.4187	-0.1737	-6.0	-7.0	0	reject
250.002	1.4187	0.2833	-2.0	-5.0	0	reject
255.752	1.4187	0.7803	-6.0	-1.0	0	reject
263.752	1.4187	0.0293	-14.0	3.0	0	reject
268.002	1.4187	1.0813	-6.0	-3.0	1	n/a
275.002	1.4187	-0.4347	2.0	-5.0	0	reject
280.002	1.4187	-0.1467	-14.0	1.0	0	reject
285.002	1.4187	-0.4417	-14.0	-7.0	0	reject
289.252	1.4187	0.2583	-2.0	-7.0	0	reject
293.252	1.4187	-0.2427	-14.0	-1.0	0	reject
300.752	1.4187	0.3633	2.0	3.0	0	accept
310.502	1.4187	0.2183	-14.0	7.0	0	reject
317.253	1.4187	0.7413	6.0	-5.0	0	accept
321.002	1.4187	0.2773	2.0	-1.0	0	accept
328.252	1.4187	0.2833	6.0	-3.0	0	accept
336.252	1.4187	0.0973	-6.0	-5.0	0	reject
344.002	1.4187	0.4323	2.0	1.0	0	accept
350.002	1.4187	1.0813	14.0	-7.0	1	n/a
354.002	1.4187	-0.2957	-2.0	-3.0	0	reject
