onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
5.252	3.0774	0.0726	0	17.3333	-26.4792	client_1	accept	negative
16.252	3.0774	0.1046	0	2.3333	6.5208	client_2	accept	negative
24.252	3.0774	-0.1064	0	13.3333	2.5208	client_1	accept	positive
31.252	3.0774	0.1356	0	-25.6667	17.5208	client_1	accept	positive
36.752	3.0774	-0.3264	0	0.3333	12.5208	client_2	accept	positive
43.752	3.0774	0.1966	0	-7.6667	-15.4792	client_1	reject	positive
51.002	3.0774	-0.2624	0	-8.6667	10.5208	client_2	accept	negative
56.502	3.0774	-0.3154	0	-5.6667	9.5208	client_2	accept	negative
62.752	3.0774	0.4496	0	-9.6667	2.5208	client_1	reject	negative
69.502	3.0774	0.1206	0	-10.6667	-12.4792	client_1	reject	positive
76.002	3.0774	-0.2584	0	-17.6667	-5.4792	client_1	reject	positive
83.252	3.0774	0.6196	0	-0.6667	-10.4792	client_1	reject	positive
89.002	3.0774	-0.2984	0	-8.6667	16.5208	client_2	accept	positive
98.502	3.0774	0.4556	0	26.3333	-3.4792	client_1	accept	positive
108.502	3.0774	0.2136	0	4.3333	5.5208	client_2	accept	negative
116.002	3.0774	-0.2624	0	3.3333	11.5208	client_2	accept	positive
125.252	3.0774	0.5386	0	24.3333	-2.4792	client_2	accept	negative
132.752	3.0774	-0.1804	0	8.3333	4.5208	client_2	accept	negative
141.752	3.0774	0.1596	0	-16.6667	9.5208	client_1	accept	positive
149.502	3.0774	-0.4034	0	-8.6667	13.5208	client_1	accept	positive
156.252	3.0774	-0.1504	0	-8.6667	-3.4792	client_2	reject	positive
162.252	3.0774	-0.0384	0	-3.6667	-19.4792	client_2	reject	positive
168.502	3.0774	-0.1224	0	8.3333	-18.4792	client_2	reject	positive
181.002	3.0774	0.2886	0	-6.6667	0.5208	client_1	reject	negative
189.502	3.0774	0.0566	0	11.3333	8.5208	client_2	accept	positive
195.502	3.0774	-0.1874	0	-10.6667	-1.4792	client_1	reject	positive
203.252	3.0774	0.4036	0	-2.6667	-20.4792	client_1	reject	positive
209.502	3.0774	-0.1534	0	14.3333	4.5208	client_2	accept	positive
215.752	3.0774	-0.3044	0	26.3333	-0.4792	client_2	accept	positive
222.252	3.0774	-0.0034	0	2.3333	-7.4792	client_1	accept	positive
230.752	3.0774	-0.3294	0	15.3333	3.5208	client_2	accept	positive
243.002	3.0774	-0.1904	0	-13.6667	15.5208	client_1	accept	positive
251.252	3.0774	0.9976	0	12.3333	-22.4792	client_1	reject	positive
257.002	3.0774	0.4746	0	17.3333	2.5208	client_2	accept	positive
263.252	3.0774	0.2576	0	5.3333	7.5208	client_2	accept	positive
269.002	3.0774	-0.0014	0	4.3333	-27.4792	client_1	reject	positive
274.752	3.0774	-0.1394	0	-9.6667	-13.4792	client_1	reject	positive
284.252	3.0774	0.3556	0	8.3333	-18.4792	client_1	reject	positive
290.252	3.0774	-0.2174	0	-1.6667	13.5208	client_1	accept	positive
296.752	3.0774	0.0246	0	-13.6667	6.5208	client_2	accept	negative
304.252	3.0774	-0.1284	0	-17.6667	10.5208	client_2	accept	negative
315.002	3.0774	-0.3494	0	-2.6667	13.5208	client_2	accept	positive
320.752	3.0774	-0.4014	0	5.3333	10.5208	client_2	accept	positive
327.002	3.0774	-0.0784	0	-15.6667	8.5208	client_1	accept	positive
332.752	3.0774	-0.0054	0	6.3333	10.5208	client_1	accept	positive
341.502	3.0774	-0.2034	0	-11.6667	-0.4792	client_1	reject	positive
348.502	3.0774	-0.2184	0	-8.6667	-14.4792	client_2	reject	positive
356.002	3.0774	-0.2914	0	10.3333	5.5208	client_2	accept	positive
