onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.502	3.0845	0.4415	0	-19.7708	7.0	client_1	reject	positive
10.252	3.0845	0.0825	0	-16.7708	10.0	client_1	accept	positive
15.752	3.0845	-0.1605	0	-19.7708	12.0	client_2	accept	negative
21.752	3.0845	0.4375	0	-7.7708	-15.0	client_2	reject	positive
29.752	3.0845	0.0495	0	0.2292	-11.0	client_1	accept	negative
40.002	3.0845	0.1215	0	26.2292	-1.0	client_2	accept	positive
47.252	3.0845	0.0255	0	-0.7708	-5.0	client_1	reject	negative
58.002	3.0845	-0.3045	0	27.2292	-4.0	client_2	accept	negative
64.502	3.0845	-0.2795	0	14.2292	-18.0	client_1	accept	positive
71.752	3.0845	-0.0545	0	16.2292	1.0	client_1	accept	positive
78.252	3.0845	-0.3165	0	-18.7708	11.0	client_1	accept	positive
87.002	3.0845	-0.0115	0	-24.7708	17.0	client_1	accept	positive
93.502	3.0845	-0.1935	0	3.2292	6.0	client_2	accept	negative
103.502	3.0845	-0.1395	0	5.2292	8.0	client_1	accept	positive
111.252	3.0845	-0.0975	0	-4.7708	9.0	client_2	accept	negative
117.752	3.0845	0.6425	0	2.2292	-25.0	client_1	reject	positive
124.502	3.0845	0.4335	0	-20.7708	-2.0	client_1	reject	positive
131.502	3.0845	-0.0365	0	6.2292	-29.0	client_2	reject	positive
138.002	3.0845	-0.0855	0	-1.7708	13.0	client_2	accept	positive
150.502	3.0845	-0.2155	0	-4.7708	-18.0	client_1	reject	positive
158.002	3.0845	-0.2495	0	0.2292	13.0	client_2	accept	positive
169.502	3.0845	-0.0155	0	21.2292	-1.0	client_1	accept	positive
179.252	3.0845	0.2455	0	1.2292	-24.0	client_1	reject	positive
186.502	3.0845	-0.0215	0	6.2292	-11.0	client_1	accept	positive
193.752	3.0845	-0.1215	0	1.2292	9.0	client_2	accept	positive
202.252	3.0845	-0.1055	0	12.2292	5.0	client_2	accept	positive
208.502	3.0845	-0.2025	0	-11.7708	17.0	client_2	accept	positive
214.502	3.0845	0.1035	0	-2.7708	11.0	client_2	accept	positive
223.752	3.0845	-0.2475	0	-5.7708	10.0	client_2	accept	negative
230.002	3.0845	0.0755	0	-15.7708	19.0	client_2	accept	positive
241.752	3.0845	0.6505	0	-0.7708	13.0	client_2	accept	positive
248.752	3.0845	-0.0745	0	-19.7708	-3.0	client_1	reject	positive
255.252	3.0845	0.3785	0	12.2292	-22.0	client_1	accept	negative
261.252	3.0845	0.1615	0	-13.7708	-9.0	client_1	reject	positive
267.252	3.0845	0.3215	0	-4.7708	-7.0	client_2	reject	positive
273.752	3.0845	-0.2565	0	8.2292	6.0	client_2	accept	positive
279.252	3.0845	-0.0375	0	19.2292	2.0	client_2	accept	positive
286.502	3.0845	0.0055	0	-12.7708	12.0	client_2	accept	negative
293.752	3.0845	-0.4015	0	1.2292	12.0	client_2	accept	positive
301.752	3.0845	-0.2505	0	15.2292	1.0	client_2	accept	negative
307.252	3.0845	-0.0175	0	-24.7708	11.0	client_1	reject	positive
313.002	3.0845	-0.1075	0	13.2292	-17.0	client_2	accept	negative
318.502	3.0845	0.1155	0	10.2292	9.0	client_1	accept	positive
330.002	3.0845	-0.1675	0	20.2292	2.0	client_1	accept	positive
337.252	3.0845	0.0735	0	-1.7708	-9.0	client_2	reject	positive
345.002	3.0845	-0.2035	0	7.2292	10.0	client_1	accept	positive
351.502	3.0845	0.1815	0	6.2292	-16.0	client_1	reject	positive
357.752	3.0845	-0.1695	0	-1.7708	-9.0	client_1	reject	positive
