onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
7.002	1.9655	client_1	14.8125	-5.0312	accept	0	0.0505
12.502	1.9655	client_2	6.8125	-7.0312	reject	0	-0.1685
18.502	1.9655	client_2	-13.1875	-1.0312	reject	0	-0.0875
23.502	1.9655	client_1	-1.1875	6.9688	accept	0	-0.2205
29.502	1.9655	client_1	-5.1875	0.9688	accept	0	0.3275
34.002	1.9655	client_1	6.8125	-3.0312	accept	0	0.0605
41.502	1.9655	client_1	-9.1875	0.9688	accept	0	0.0805
46.252	1.9655	client_1	-9.1875	-3.0312	reject	0	0.0205
53.752	1.9655	client_2	-9.1875	6.9688	accept	0	0.3945
60.502	1.9655	client_1	-1.1875	-1.0312	accept	0	0.1365
69.002	1.9655	client_1	2.8125	-3.0312	accept	0	-0.0495
74.752	1.9655	client_2	-13.1875	4.9688	reject	0	0.2545
84.002	1.9655	client_2	-9.1875	-7.0312	reject	0	-0.1365
89.752	1.9655	client_1	14.8125	6.9688	accept	0	-0.2055
95.252	1.9655	client_1	2.8125	-1.0312	accept	0	-0.0335
100.752	1.9655	client_2	10.8125	-1.0312	reject	0	0.1455
105.752	1.9655	client_2	14.8125	-3.0312	accept	0	0.0505
110.252	1.9655	client_2	-5.1875	2.9688	reject	0	0.4615
117.502	1.9655	client_2	-13.1875	6.9688	reject	0	-0.0375
123.752	1.9655	client_2	-1.1875	-1.0312	reject	0	-0.0675
132.752	1.9655	client_1	-5.1875	-7.0312	reject	0	0.2445
138.502	1.9655	client_2	-1.1875	2.9688	reject	0	0.2705
145.502	1.9655	client_2	10.8125	4.9688	accept	0	0.0725
153.252	1.9655	client_1	-9.1875	-5.0312	reject	0	0.0105
159.502	1.9655	client_1	14.8125	-1.0312	accept	0	0.1035
167.502	1.9655	client_1	10.8125	4.9688	accept	0	-0.1395
172.502	1.9655	client_2	-1.1875	4.9688	accept	0	0.0395
178.002	1.9655	client_1	-1.1875	0.9688	accept	0	-0.1565
189.252	1.9655	client_2	10.8125	2.9688	accept	0	0.2855
195.502	1.9655	client_1	2.8125	-7.0312	accept	0	-0.1885
200.752	1.9655	client_1	-1.1875	4.9688	accept	0	-0.0435
206.502	1.9655	client_2	-1.1875	0.9688	reject	0	-0.2495
212.252	1.9655	client_1	-13.1875	-7.0312	reject	0	0.3495
217.752	1.9655	client_1	-1.1875	-7.0312	reject	0	0.1355
226.252	1.9655	client_1	14.8125	0.9688	accept	0	-0.0755
231.002	1.9655	client_2	-1.1875	-3.0312	reject	0	-0.0785
236.002	1.9655	client_2	-13.1875	-5.0312	reject	0	-0.0025
243.252	1.9655	client_2	-13.1875	-3.0312	reject	0	-0.0355
249.502	1.9655	client_1	-1.1875	-3.0312	accept	0	-0.0955
255.252	1.9655	client_2	2.8125	-5.0312	reject	0	0.0025
260.752	1.9655	client_1	6.8125	4.9688	accept	0	-0.0335
265.252	1.9655	client_2	2.8125	2.9688	reject	0	-0.1405
271.002	1.9655	client_2	10.8125	6.9688	accept	0	-0.2295
276.752	1.9655	client_1	2.8125	-5.0312	accept	0	-0.0845
287.502	1.9655	client_1	-5.1875	4.9688	accept	0	-0.2585
293.002	1.9655	client_2	-9.1875	-5.0312	reject	0	-0.0735
297.502	1.9655	client_2	10.8125	-5.0312	reject	0	-0.3135
303.002	1.9655	client_2	-9.1875	-3.0312	reject	0	-0.2175
312.752	1.9655	client_2	14.8125	0.9688	reject	0	0.3715
319.252	1.9655	client_1	-5.1875	-1.0312	accept	0	0.1265
330.752	1.9655	client_1	-13.1875	0.9688	reject	0	-0.0615
338.752	1.9655	client_2	-9.1875	-1.0312	reject	0	-0.1625
346.752	1.9655	client_2	6.8125	2.9688	accept	0	-0.0025
352.502	1.9655	client_2	2.8125	6.9688	accept	0	-0.2335
358.752	1.9655	client_1	-1.1875	-5.0312	accept	0	-0.1075
365.002	1.9655	client_2	2.8125	-1.0312	reject	0	-0.0775
370.502	1.9655	client_1	-9.1875	4.9688	accept	0	-0.1065
377.502	1.9655	client_1	-9.1875	6.9688	accept	0	0.0825
383.002	1.9655	client_2	-13.1875	-7.0312	reject	0	-0.1085
389.002	1.9655	client_1	14.8125	4.9688	accept	0	-0.0255
393.752	1.9655	client_1	2.8125	4.9688	accept	0	0.0865
402.752	1.9655	client_2	-5.1875	6.9688	accept	0	0.1995
407.752	1.9655	client_2	10.8125	-7.0312	reject	0	0.1045
414.002	1.9655	client_1	10.8125	2.9688	accept	0	-0.1595
