onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
3.752	3.2052	0.5158	0	-10.4583	-1.6458	client_1	reject	positive
11.002	3.2052	-0.4342	0	2.5417	8.3542	client_1	accept	positive
18.002	3.2052	-0.4642	0	-5.4583	15.3542	client_2	accept	positive
26.002	3.2052	-0.1112	0	19.5417	-0.6458	client_2	reject	positive
32.002	3.2052	-0.1502	0	3.5417	11.3542	client_2	accept	positive
39.502	3.2052	-0.3942	0	11.5417	2.3542	client_2	accept	negative
45.002	3.2052	-0.0072	0	4.5417	11.3542	client_2	accept	positive
50.502	3.2052	-0.3892	0	-8.4583	-3.6458	client_1	reject	positive
57.002	3.2052	0.4118	0	-2.4583	8.3542	client_2	accept	negative
65.502	3.2052	-0.4322	0	-13.4583	18.3542	client_2	accept	positive
75.752	3.2052	-0.4332	0	-7.4583	-4.6458	client_1	reject	positive
85.002	3.2052	0.1618	0	12.5417	-16.6458	client_1	reject	negative
93.502	3.2052	0.2638	0	7.5417	-17.6458	client_2	reject	positive
100.002	3.2052	0.1948	0	20.5417	1.3542	client_2	accept	positive
105.752	3.2052	-0.3692	0	-8.4583	16.3542	client_2	accept	positive
112.752	3.2052	0.0428	0	-15.4583	-7.6458	client_1	reject	positive
119.502	3.2052	-0.4482	0	-13.4583	-9.6458	client_1	reject	positive
129.002	3.2052	-0.5182	0	-16.4583	-6.6458	client_2	reject	positive
137.252	3.2052	-0.3432	0	1.5417	-12.6458	client_2	reject	positive
142.752	3.2052	0.2138	0	-3.4583	-2.6458	client_1	accept	positive
148.252	3.2052	-0.0892	0	15.5417	3.3542	client_2	accept	positive
153.752	3.2052	-0.0482	0	2.5417	-7.6458	client_1	accept	positive
163.502	3.2052	-0.0392	0	-6.4583	-16.6458	client_1	reject	positive
169.252	3.2052	0.2068	0	-5.4583	9.3542	client_2	reject	positive
177.752	3.2052	-0.0322	0	-0.4583	-5.6458	client_1	accept	positive
184.752	3.2052	0.3958	0	1.5417	6.3542	client_2	accept	negative
194.752	3.2052	-0.1432	0	19.5417	2.3542	client_1	accept	positive
207.252	3.2052	0.0658	0	-5.4583	12.3542	client_2	reject	negative
215.252	3.2052	-0.1432	0	2.5417	11.3542	client_1	accept	positive
223.252	3.2052	0.7048	0	-17.4583	10.3542	client_1	accept	positive
229.002	3.2052	0.1638	0	-4.4583	-18.6458	client_1	reject	positive
239.752	3.2052	0.2828	0	3.5417	-14.6458	client_1	reject	positive
246.002	3.2052	0.1268	0	6.5417	4.3542	client_2	accept	negative
253.002	3.2052	-0.0742	0	-18.4583	10.3542	client_2	reject	positive
259.752	3.2052	0.4588	0	-21.4583	8.3542	client_1	reject	positive
268.502	3.2052	0.3348	0	4.5417	-9.6458	client_2	reject	positive
276.002	3.2052	0.1888	0	-16.4583	3.3542	client_1	reject	positive
281.752	3.2052	-0.1512	0	-1.4583	-21.6458	client_1	reject	positive
288.002	3.2052	-0.5102	0	3.5417	-26.6458	client_1	reject	positive
295.502	3.2052	-0.0242	0	6.5417	10.3542	client_1	accept	positive
301.752	3.2052	0.2888	0	19.5417	2.3542	client_2	accept	positive
308.502	3.2052	-0.0062	0	-1.4583	10.3542	client_2	accept	positive
315.002	3.2052	0.3598	0	12.5417	2.3542	client_1	accept	positive
322.252	3.2052	-0.0762	0	21.5417	-1.6458	client_1	accept	positive
332.752	3.2052	-0.0832	0	5.5417	10.3542	client_2	accept	positive
345.002	3.2052	0.2098	0	-8.4583	1.3542	client_1	accept	positive
351.252	3.2052	0.0998	0	18.5417	2.3542	client_2	accept	positive
360.002	3.2052	0.2238	0	-15.4583	-7.6458	client_2	reject	positive
