onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.002	2.149	client_1	14.1875	-0.7188	accept	0	-0.316
5.752	2.149	client_1	10.1875	1.2812	accept	0	-0.443
10.752	2.149	client_1	6.1875	-2.7188	accept	0	-0.172
15.502	2.149	client_1	2.1875	-6.7188	accept	0	-0.083
22.002	2.149	client_2	-13.8125	-0.7188	reject	0	-0.246
29.002	2.149	client_2	-1.8125	3.2812	accept	0	0.292
33.502	2.149	client_2	6.1875	-2.7188	reject	0	-0.16
38.502	2.149	client_2	2.1875	5.2812	accept	0	-0.43
46.252	2.149	client_1	6.1875	1.2812	accept	0	-0.044
54.502	2.149	client_1	-9.8125	7.2812	accept	0	-0.189
61.502	2.149	client_1	2.1875	-2.7188	accept	0	-0.114
67.002	2.149	client_2	-13.8125	3.2812	reject	0	-0.212
72.752	2.149	client_1	-9.8125	5.2812	accept	0	0.438
78.502	2.149	client_1	6.1875	3.2812	accept	0	-0.441
84.502	2.149	client_2	-5.8125	-4.7188	reject	0	-0.149
89.502	2.149	client_2	10.1875	-6.7188	reject	0	0.5
95.502	2.149	client_1	10.1875	-2.7188	accept	0	0.488
100.502	2.149	client_1	2.1875	-4.7188	accept	0	0.172
107.502	2.149	client_1	-1.8125	-2.7188	accept	0	-0.012
119.002	2.149	client_1	14.1875	5.2812	accept	0	-0.466
125.502	2.149	client_1	10.1875	5.2812	accept	0	-0.365
130.002	2.149	client_1	2.1875	5.2812	accept	0	-0.178
134.502	2.149	client_2	-5.8125	7.2812	accept	0	0.112
140.752	2.149	client_2	-9.8125	1.2812	reject	0	0.181
147.502	2.149	client_2	-5.8125	5.2812	accept	0	0.188
155.002	2.149	client_1	-5.8125	3.2812	accept	0	0.098
160.752	2.149	client_2	2.1875	-4.7188	reject	0	0.064
166.002	2.149	client_2	-5.8125	3.2812	accept	0	0.751
172.502	2.149	client_2	2.1875	7.2812	accept	0	-0.223
179.252	2.149	client_1	-13.8125	-6.7188	reject	0	0.089
184.252	2.149	client_1	-9.8125	-6.7188	reject	0	-0.205
189.752	2.149	client_1	10.1875	3.2812	accept	0	-0.213
194.502	2.149	client_2	6.1875	5.2812	accept	0	-0.504
200.752	2.149	client_1	14.1875	-4.7188	accept	0	0.05
206.502	2.149	client_2	-9.8125	-0.7188	reject	0	-0.048
213.252	2.149	client_2	6.1875	-6.7188	reject	0	0.147
219.253	2.149	client_2	-13.8125	-4.7188	reject	0	-0.164
228.002	2.149	client_2	14.1875	1.2812	accept	0	0.41
236.002	2.149	client_2	-1.8125	1.2812	reject	0	0.239
241.502	2.149	client_2	10.1875	7.2812	accept	0	-0.285
251.752	2.149	client_1	-13.8125	-2.7188	reject	0	-0.422
260.252	2.149	client_2	6.1875	3.2812	accept	0	-0.127
271.002	2.149	client_1	10.1875	-4.7188	accept	0	0.392
279.002	2.149	client_1	2.1875	1.2812	accept	0	-0.152
289.252	2.149	client_2	-13.8125	-6.7188	reject	0	-0.28
297.752	2.149	client_2	14.1875	-4.7188	accept	0	0.611
306.252	2.149	client_1	2.1875	-0.7188	accept	0	0.096
311.502	2.149	client_2	-13.8125	-2.7188	reject	0	-0.387
318.502	2.149	client_2	-9.8125	3.2812	reject	0	0.049
324.002	2.149	client_2	-1.8125	7.2812	accept	0	-0.091
331.002	2.149	client_1	2.1875	3.2812	accept	0	-0.435
336.252	2.149	client_1	6.1875	-6.7188	accept	0	0.331
342.752	2.149	client_1	-13.8125	-4.7188	reject	0	-0.338
350.002	2.149	client_1	-9.8125	-2.7188	reject	0	0.072
355.502	2.149	client_2	-13.8125	1.2812	reject	0	-0.181
360.752	2.149	client_2	2.1875	-0.7188	accept	0	0.32
366.002	2.149	client_2	6.1875	-4.7188	reject	0	0.143
376.502	2.149	client_1	-9.8125	-0.7188	reject	0	1.338
382.002	2.149	client_1	6.1875	7.2812	accept	0	-0.392
389.252	2.149	client_1	6.1875	-4.7188	accept	0	0.359
394.252	2.149	client_2	-1.8125	-6.7188	reject	0	0.25
400.252	2.149	client_2	-5.8125	1.2812	reject	0	0.042
406.752	2.149	client_1	6.1875	-0.7188	accept	0	0.301
412.752	2.149	client_2	6.1875	7.2812	accept	0	-0.058
