onset	duration	normalized_rt	gains	losses	missing_trials	outcome
3.502	1.3955	0.3145	6.0	7.0	0	accept
9.252	1.3955	-0.3225	-6.0	7.0	0	accept
14.252	1.3955	0.4845	14.0	7.0	0	accept
18.752	1.3955	-0.3075	-14.0	3.0	0	accept
24.002	1.3955	-0.3445	-10.0	-3.0	0	accept
27.752	1.3955	0.9015	-6.0	1.0	0	accept
34.252	1.3955	0.5975	2.0	-5.0	0	accept
38.502	1.3955	1.1045	-14.0	1.0	1	n/a
44.752	1.3955	0.7335	2.0	1.0	0	accept
52.252	1.3955	1.1045	6.0	-7.0	1	n/a
57.252	1.3955	-0.2945	-10.0	-7.0	0	accept
66.252	1.3955	-0.1135	6.0	1.0	0	accept
70.502	1.3955	-0.1995	6.0	5.0	0	accept
75.752	1.3955	-0.2535	6.0	3.0	0	accept
80.002	1.3955	-0.1525	-14.0	-5.0	0	reject
83.752	1.3955	-0.0645	14.0	-3.0	0	accept
91.752	1.3955	-0.0015	-10.0	1.0	0	accept
95.752	1.3955	-0.0255	14.0	1.0	0	accept
101.002	1.3955	-0.2535	-14.0	-3.0	0	reject
105.502	1.3955	0.0385	-14.0	-1.0	0	reject
110.752	1.3955	-0.1205	-10.0	5.0	0	accept
114.753	1.3955	-0.5555	10.0	7.0	0	accept
118.502	1.3955	0.5765	-6.0	5.0	0	accept
128.252	1.3955	0.1795	-2.0	1.0	0	accept
132.002	1.3955	0.0445	10.0	-5.0	0	accept
136.252	1.3955	-0.2465	10.0	-3.0	0	accept
143.252	1.3955	0.0315	-6.0	-7.0	0	reject
148.002	1.3955	-0.4765	-10.0	-5.0	0	reject
152.752	1.3955	-0.0335	6.0	-3.0	0	accept
161.502	1.3955	0.1495	-2.0	-3.0	0	accept
165.002	1.3955	0.0295	-6.0	3.0	0	accept
172.002	1.3955	-0.2425	-2.0	3.0	0	accept
177.752	1.3955	-0.4375	-2.0	5.0	0	accept
182.752	1.3955	-0.1105	10.0	5.0	0	accept
186.752	1.3955	0.1565	2.0	3.0	0	accept
190.753	1.3955	-0.3675	-14.0	7.0	0	accept
194.252	1.3955	0.7395	2.0	-3.0	0	accept
198.252	1.3955	-0.0895	-2.0	-7.0	0	accept
202.252	1.3955	-0.1665	2.0	-1.0	0	accept
208.252	1.3955	-0.2375	2.0	7.0	0	accept
216.002	1.3955	-0.2785	-14.0	5.0	0	accept
226.502	1.3955	0.5495	-2.0	-1.0	0	accept
230.752	1.3955	-0.0195	-10.0	-1.0	0	accept
236.252	1.3955	0.2665	14.0	-5.0	0	accept
244.752	1.3955	-0.2035	10.0	3.0	0	accept
249.502	1.3955	0.5905	14.0	5.0	0	accept
257.752	1.3955	-0.4065	-14.0	-7.0	0	reject
261.252	1.3955	0.1985	-6.0	-3.0	0	reject
265.752	1.3955	1.0735	-6.0	-5.0	0	reject
274.252	1.3955	1.0465	-6.0	-1.0	0	accept
278.502	1.3955	0.1615	10.0	-1.0	0	accept
282.752	1.3955	-0.1615	14.0	-7.0	0	accept
289.752	1.3955	1.1045	2.0	-7.0	1	n/a
297.752	1.3955	-0.4555	-2.0	-5.0	0	accept
302.502	1.3955	-0.4115	6.0	-1.0	0	accept
307.002	1.3955	-0.4875	14.0	-1.0	0	accept
314.002	1.3955	-0.4875	2.0	5.0	0	accept
317.502	1.3955	0.3375	10.0	1.0	0	accept
322.002	1.3955	-0.5935	14.0	3.0	0	accept
325.752	1.3955	-0.3905	-2.0	7.0	0	accept
329.502	1.3955	-0.3485	6.0	-5.0	0	accept
336.752	1.3955	-0.1695	-10.0	3.0	0	accept
344.752	1.3955	0.3425	10.0	-7.0	0	accept
355.252	1.3955	0.2845	-10.0	7.0	0	accept
