onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.502	3.1303	0.4177	0	-20.9792	14.5625	client_2	reject	positive
8.002	3.1303	-0.1193	0	4.0208	-25.4375	client_1	reject	positive
14.002	3.1303	-0.1783	0	-0.9792	13.5625	client_2	accept	positive
19.502	3.1303	-0.2213	0	5.0208	-8.4375	client_1	accept	positive
27.252	3.1303	-0.1003	0	-10.9792	17.5625	client_2	accept	positive
36.252	3.1303	-0.2283	0	0.0208	-21.4375	client_2	reject	positive
45.502	3.1303	0.2217	0	23.0208	-1.4375	client_2	reject	positive
57.752	3.1303	0.1817	0	-7.9792	16.5625	client_2	accept	positive
66.502	3.1303	-0.2053	0	7.0208	-28.4375	client_1	reject	positive
73.252	3.1303	-0.0293	0	15.0208	-23.4375	client_2	reject	positive
79.502	3.1303	-0.3443	0	-18.9792	7.5625	client_1	reject	positive
86.252	3.1303	-0.0813	0	-9.9792	-11.4375	client_1	reject	positive
93.252	3.1303	0.4827	0	-5.9792	12.5625	client_2	accept	positive
100.752	3.1303	0.4457	0	12.0208	-20.4375	client_1	reject	positive
112.502	3.1303	0.2047	0	-0.9792	10.5625	client_2	accept	positive
118.002	3.1303	-0.2793	0	-14.9792	19.5625	client_2	accept	positive
125.252	3.1303	-0.3473	0	-20.9792	-0.4375	client_1	reject	positive
133.752	3.1303	-0.1203	0	-14.9792	14.5625	client_1	accept	positive
144.002	3.1303	0.0677	0	1.0208	7.5625	client_2	accept	negative
155.002	3.1303	-0.3913	0	-9.9792	-0.4375	client_1	reject	positive
166.752	3.1303	-0.2673	0	-10.9792	5.5625	client_1	accept	positive
173.752	3.1303	-0.1443	0	-13.9792	8.5625	client_1	accept	positive
181.002	3.1303	-0.1003	0	-14.9792	3.5625	client_2	reject	positive
187.002	3.1303	0.1207	0	6.0208	-15.4375	client_1	reject	positive
196.002	3.1303	-0.0413	0	10.0208	9.5625	client_2	accept	positive
203.752	3.1303	-0.1863	0	25.0208	0.5625	client_2	accept	positive
209.252	3.1303	0.3827	0	1.0208	-10.4375	client_1	reject	positive
219.002	3.1303	0.1907	0	-22.9792	16.5625	client_1	accept	positive
228.252	3.1303	-0.2623	0	-8.9792	14.5625	client_2	accept	positive
234.502	3.1303	-0.1633	0	-5.9792	-15.4375	client_2	reject	positive
241.752	3.1303	0.1117	0	10.0208	6.5625	client_1	accept	positive
250.252	3.1303	-0.0803	0	-8.9792	-12.4375	client_1	reject	positive
258.002	3.1303	-0.2213	0	-10.9792	14.5625	client_2	accept	positive
268.502	3.1303	0.1237	0	14.0208	4.5625	client_1	accept	positive
274.502	3.1303	0.2737	0	4.0208	-7.4375	client_2	reject	positive
281.252	3.1303	0.1957	0	26.0208	0.5625	client_2	accept	positive
287.502	3.1303	0.1357	0	-13.9792	13.5625	client_2	accept	negative
299.002	3.1303	-0.2173	0	-14.9792	19.5625	client_1	accept	positive
305.252	3.1303	-0.3873	0	18.0208	-20.4375	client_1	reject	negative
315.752	3.1303	-0.3303	0	3.0208	-24.4375	client_1	reject	positive
323.252	3.1303	-0.1143	0	-8.9792	11.5625	client_2	accept	negative
330.752	3.1303	0.6917	0	20.0208	-22.4375	client_1	accept	positive
336.502	3.1303	0.6427	0	19.0208	-26.4375	client_1	reject	positive
345.502	3.1303	0.2527	0	27.0208	-2.4375	client_2	accept	negative
351.002	3.1303	-0.0933	0	2.0208	12.5625	client_2	accept	positive
363.502	3.1303	0.1727	0	24.0208	-1.4375	client_1	accept	positive
370.752	3.1303	0.0137	0	-15.9792	14.5625	client_2	reject	positive
376.502	3.1303	-0.0743	0	13.0208	8.5625	client_1	accept	positive
