onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
2.002	1.9605	client_2	9.625	4.875	accept	0	-0.2895
12.252	1.9605	client_1	13.625	-1.125	accept	0	-0.3425
17.752	1.9605	client_2	-14.375	-1.125	reject	0	-0.2185
22.502	1.9605	client_2	9.625	-5.125	reject	0	0.3165
29.252	1.9605	client_1	-2.375	0.875	accept	0	-0.2985
34.502	1.9605	client_2	-2.375	-3.125	reject	0	0.2675
39.252	1.9605	client_1	13.625	6.875	accept	0	1.4775
43.752	1.9605	client_1	9.625	4.875	accept	0	-0.2845
53.752	1.9605	client_2	1.625	2.875	accept	0	-0.2275
62.002	1.9605	client_2	9.625	-1.125	accept	0	0.0215
70.752	1.9605	client_2	5.625	-3.125	reject	0	0.3705
79.252	1.9605	client_2	-2.375	6.875	accept	0	-0.3425
88.002	1.9605	client_1	1.625	-3.125	accept	0	-0.2365
92.502	1.9605	client_2	-2.375	4.875	n/a	1	1.5395
101.752	1.9605	client_1	-10.375	0.875	accept	0	0.9005
112.002	1.9605	client_1	5.625	-3.125	accept	0	-0.2745
118.002	1.9605	client_1	1.625	-1.125	accept	0	-0.3635
123.502	1.9605	client_1	-6.375	-7.125	n/a	1	1.5395
129.502	1.9605	client_2	-6.375	4.875	accept	0	-0.2685
135.502	1.9605	client_1	9.625	2.875	accept	0	-0.3335
144.002	1.9605	client_1	-6.375	-3.125	accept	0	-0.1755
148.752	1.9605	client_1	9.625	-1.125	accept	0	-0.2965
153.502	1.9605	client_1	-2.375	-3.125	accept	0	-0.2335
160.002	1.9605	client_2	9.625	6.875	accept	0	-0.4015
166.752	1.9605	client_2	5.625	-5.125	reject	0	-0.1105
172.502	1.9605	client_2	-2.375	-5.125	reject	0	-0.0825
177.752	1.9605	client_1	-14.375	2.875	reject	0	0.0885
184.002	1.9605	client_2	13.625	-1.125	accept	0	0.1855
188.502	1.9605	client_2	-10.375	4.875	reject	0	0.0325
200.002	1.9605	client_1	-10.375	-5.125	reject	0	-0.2635
205.002	1.9605	client_2	13.625	4.875	accept	0	0.0885
210.502	1.9605	client_2	1.625	6.875	accept	0	1.3815
218.002	1.9605	client_2	-14.375	2.875	reject	0	-0.0715
222.752	1.9605	client_1	-2.375	-5.125	accept	0	-0.1245
230.502	1.9605	client_1	-10.375	-3.125	reject	0	-0.0305
235.252	1.9605	client_1	9.625	0.875	accept	0	0.8245
246.002	1.9605	client_1	-2.375	-1.125	accept	0	-0.0835
251.502	1.9605	client_2	-6.375	6.875	accept	0	-0.0085
257.252	1.9605	client_2	-14.375	4.875	reject	0	-0.2495
265.752	1.9605	client_1	-6.375	-1.125	accept	0	-0.0625
274.502	1.9605	client_2	5.625	0.875	n/a	1	1.5395
280.502	1.9605	client_1	-14.375	6.875	accept	0	0.1815
286.752	1.9605	client_1	-10.375	2.875	accept	0	0.4455
291.252	1.9605	client_1	1.625	0.875	n/a	1	1.5395
295.752	1.9605	client_2	-10.375	-3.125	reject	0	-0.2285
301.002	1.9605	client_2	-14.375	-5.125	reject	0	0.0245
306.002	1.9605	client_1	1.625	-7.125	n/a	1	1.5395
315.002	1.9605	client_2	5.625	-7.125	reject	0	-0.2255
319.752	1.9605	client_1	5.625	-7.125	accept	0	-0.2385
325.752	1.9605	client_2	-6.375	0.875	reject	0	-0.2525
332.502	1.9605	client_1	13.625	2.875	accept	0	0.1815
337.252	1.9605	client_1	5.625	-1.125	accept	0	0.4155
343.752	1.9605	client_2	-6.375	-7.125	reject	0	-0.2725
348.752	1.9605	client_2	-6.375	-1.125	reject	0	-0.1545
353.502	1.9605	client_2	-6.375	-5.125	reject	0	0.7405
359.002	1.9605	client_1	-14.375	-7.125	reject	0	0.5565
367.002	1.9605	client_2	1.625	-1.125	accept	0	0.1325
372.752	1.9605	client_2	1.625	-5.125	reject	0	-0.2045
379.252	1.9605	client_1	1.625	6.875	accept	0	-0.3515
385.002	1.9605	client_1	1.625	4.875	n/a	1	1.5395
389.752	1.9605	client_1	5.625	2.875	accept	0	-0.4155
396.752	1.9605	client_1	5.625	4.875	accept	0	-0.2175
406.252	1.9605	client_2	13.625	6.875	reject	0	-0.2455
413.252	1.9605	client_2	13.625	-3.125	reject	0	-0.1505
