onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
7.002	1.911	client_2	10.0	7.1875	accept	0	-0.289
13.002	1.911	client_1	10.0	-6.8125	accept	0	0.095
19.502	1.911	client_2	-10.0	7.1875	accept	0	-0.004
25.252	1.911	client_1	14.0	1.1875	accept	0	0.136
31.002	1.911	client_2	14.0	1.1875	accept	0	0.171
35.502	1.911	client_2	-2.0	-2.8125	reject	0	-0.001
42.252	1.911	client_2	-14.0	5.1875	reject	0	-0.127
49.252	1.911	client_2	-2.0	1.1875	reject	0	0.026
57.002	1.911	client_2	-10.0	-2.8125	reject	0	-0.199
62.002	1.911	client_2	10.0	-2.8125	reject	0	0.284
66.752	1.911	client_1	14.0	5.1875	accept	0	-0.322
71.502	1.911	client_1	2.0	7.1875	accept	0	-0.188
80.752	1.911	client_1	-6.0	-6.8125	reject	0	-0.238
90.752	1.911	client_1	-14.0	-2.8125	reject	0	-0.235
97.002	1.911	client_2	6.0	-6.8125	reject	0	0.204
103.752	1.911	client_2	2.0	7.1875	accept	0	-0.267
108.502	1.911	client_1	6.0	3.1875	accept	0	-0.338
115.502	1.911	client_1	2.0	3.1875	accept	0	-0.421
124.002	1.911	client_1	-6.0	5.1875	accept	0	-0.143
128.752	1.911	client_1	-2.0	3.1875	accept	0	-0.082
134.002	1.911	client_1	6.0	-0.8125	accept	0	0.414
141.502	1.911	client_1	-10.0	5.1875	accept	0	0.09
146.752	1.911	client_2	14.0	-2.8125	reject	0	-0.052
153.252	1.911	client_2	-10.0	1.1875	reject	0	-0.02
164.002	1.911	client_1	-2.0	-6.8125	reject	0	0.502
169.002	1.911	client_1	-10.0	-4.8125	reject	0	0.205
175.502	1.911	client_2	10.0	5.1875	accept	0	-0.036
181.752	1.911	client_1	14.0	-6.8125	reject	0	0.584
187.752	1.911	client_2	-6.0	-6.8125	reject	0	-0.103
193.002	1.911	client_2	2.0	-0.8125	reject	0	0.159
197.752	1.911	client_2	14.0	7.1875	accept	0	-0.176
204.252	1.911	client_2	-6.0	-2.8125	reject	0	0.383
211.752	1.911	client_1	14.0	-2.8125	accept	0	-0.082
218.002	1.911	client_2	6.0	-0.8125	accept	0	0.282
225.502	1.911	client_2	10.0	1.1875	accept	0	-0.092
231.752	1.911	client_2	-6.0	-4.8125	reject	0	-0.229
238.502	1.911	client_1	14.0	7.1875	accept	0	-0.271
245.502	1.911	client_1	-10.0	-0.8125	reject	0	-0.263
250.752	1.911	client_1	-6.0	-0.8125	reject	0	0.103
256.252	1.911	client_2	-14.0	7.1875	accept	0	-0.273
263.502	1.911	client_1	-2.0	-0.8125	accept	0	-0.143
269.752	1.911	client_2	-2.0	-6.8125	reject	0	0.107
275.752	1.911	client_1	2.0	-0.8125	accept	0	0.104
282.002	1.911	client_2	-6.0	7.1875	accept	0	-0.274
287.252	1.911	client_2	10.0	-0.8125	reject	0	0.115
295.752	1.911	client_2	10.0	-4.8125	reject	0	0.209
300.752	1.911	client_2	2.0	1.1875	reject	0	0.031
305.252	1.911	client_1	-10.0	1.1875	accept	0	0.269
311.502	1.911	client_1	6.0	7.1875	accept	0	-0.167
316.502	1.911	client_2	6.0	1.1875	accept	0	-0.332
321.252	1.911	client_2	-14.0	-6.8125	reject	0	-0.095
327.002	1.911	client_1	-14.0	-6.8125	reject	0	0.22
336.002	1.911	client_1	-14.0	3.1875	reject	0	0.159
340.502	1.911	client_1	2.0	1.1875	accept	0	0.084
350.502	1.911	client_2	2.0	3.1875	accept	0	0.487
360.502	1.911	client_2	-10.0	3.1875	reject	0	-0.086
367.252	1.911	client_2	14.0	-6.8125	reject	0	0.098
374.002	1.911	client_1	-2.0	-2.8125	accept	0	0.046
385.502	1.911	client_2	-10.0	-4.8125	reject	0	-0.02
390.002	1.911	client_1	-6.0	1.1875	accept	0	0.159
395.003	1.911	client_1	-14.0	-0.8125	reject	0	-0.168
401.252	1.911	client_1	-10.0	7.1875	accept	0	-0.2
407.002	1.911	client_1	10.0	-4.8125	accept	0	0.065
412.752	1.911	client_1	2.0	-6.8125	accept	0	0.145
