onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
6.252	2.0434	client_1	-9.75	0.9688	accept	0	-0.0754
12.502	2.0434	client_1	-9.75	-5.0312	reject	0	-0.2894
19.002	2.0434	client_1	2.25	-7.0312	accept	0	-0.0744
26.002	2.0434	client_2	6.25	4.9688	accept	0	-0.3794
33.002	2.0434	client_1	-1.75	0.9688	accept	0	-0.0304
44.502	2.0434	client_1	-13.75	-3.0312	reject	0	-0.2114
49.752	2.0434	client_2	-1.75	6.9688	accept	0	-0.2874
55.752	2.0434	client_1	6.25	0.9688	accept	0	0.0226
60.502	2.0434	client_1	6.25	-7.0312	accept	0	-0.0224
69.752	2.0434	client_1	6.25	-3.0312	accept	0	-0.1194
74.502	2.0434	client_1	-13.75	6.9688	accept	0	0.4006
79.002	2.0434	client_2	14.25	2.9688	accept	0	-0.0804
84.752	2.0434	client_2	14.25	0.9688	accept	0	0.3696
90.502	2.0434	client_1	14.25	-5.0312	accept	0	0.3816
96.752	2.0434	client_2	-9.75	6.9688	accept	0	0.4176
101.252	2.0434	client_1	14.25	0.9688	accept	0	-0.0854
106.502	2.0434	client_1	-9.75	-1.0312	accept	0	0.5396
114.252	2.0434	client_2	-13.75	0.9688	reject	0	-0.0784
124.752	2.0434	client_2	-1.75	-7.0312	reject	0	0.3286
131.502	2.0434	client_2	-5.75	-7.0312	reject	0	-0.2194
137.002	2.0434	client_2	10.25	-1.0312	accept	0	-0.1124
142.502	2.0434	client_2	-9.75	-1.0312	reject	0	0.1406
151.752	2.0434	client_1	10.25	0.9688	accept	0	-0.4134
161.252	2.0434	client_2	2.25	0.9688	reject	0	0.2496
168.502	2.0434	client_2	-9.75	-7.0312	reject	0	-0.1084
173.502	2.0434	client_2	-13.75	-5.0312	reject	0	-0.1944
178.752	2.0434	client_1	14.25	4.9688	accept	0	-0.1334
184.752	2.0434	client_2	2.25	-3.0312	reject	0	-0.0184
190.752	2.0434	client_2	2.25	-5.0312	reject	0	-0.0114
199.002	2.0434	client_1	-13.75	-1.0312	reject	0	-0.3964
204.002	2.0434	client_1	-13.75	-5.0312	reject	0	-0.3604
209.252	2.0434	client_1	2.25	-3.0312	accept	0	0.0416
219.752	2.0434	client_2	-13.75	6.9688	accept	0	0.2246
226.252	2.0434	client_1	6.25	2.9688	accept	0	-0.3034
231.252	2.0434	client_2	-9.75	2.9688	reject	0	0.9766
237.002	2.0434	client_2	-13.75	4.9688	reject	0	0.2336
244.752	2.0434	client_1	-5.75	-5.0312	reject	0	0.3416
249.752	2.0434	client_2	2.25	-7.0312	reject	0	0.0736
257.502	2.0434	client_2	-5.75	6.9688	accept	0	0.0726
262.502	2.0434	client_2	-1.75	4.9688	accept	0	-0.0054
267.502	2.0434	client_1	-13.75	4.9688	accept	0	0.2226
277.502	2.0434	client_1	10.25	4.9688	accept	0	-0.1974
282.252	2.0434	client_1	14.25	-3.0312	reject	0	0.3556
288.752	2.0434	client_1	-5.75	-7.0312	reject	0	-0.2244
294.252	2.0434	client_2	14.25	-7.0312	reject	0	0.1396
305.002	2.0434	client_1	10.25	-1.0312	accept	0	-0.0714
310.752	2.0434	client_1	-5.75	-3.0312	accept	0	-0.0984
315.502	2.0434	client_2	-5.75	-5.0312	reject	0	0.2526
320.502	2.0434	client_2	-9.75	-5.0312	reject	0	0.0216
327.752	2.0434	client_1	10.25	2.9688	accept	0	-0.4164
334.502	2.0434	client_1	-5.75	6.9688	accept	0	-0.4384
341.002	2.0434	client_2	-13.75	2.9688	reject	0	0.3286
347.002	2.0434	client_2	2.25	4.9688	accept	0	0.1836
355.252	2.0434	client_2	-9.75	4.9688	accept	0	0.6536
362.252	2.0434	client_1	-1.75	2.9688	accept	0	-0.2464
368.002	2.0434	client_2	14.25	6.9688	accept	0	-0.3204
373.752	2.0434	client_2	14.25	-1.0312	accept	0	0.2256
380.002	2.0434	client_2	6.25	-1.0312	reject	0	-0.1954
385.752	2.0434	client_1	6.25	-5.0312	accept	0	-0.2864
391.002	2.0434	client_2	2.25	-1.0312	reject	0	-0.0914
396.252	2.0434	client_2	10.25	0.9688	accept	0	0.6326
404.002	2.0434	client_1	14.25	-1.0312	accept	0	-0.4284
408.752	2.0434	client_1	2.25	6.9688	accept	0	-0.3614
413.752	2.0434	client_1	6.25	6.9688	accept	0	-0.4444
