onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.252	2.842	0.167	0	-26.8125	19.1875	client_1	accept	positive
12.502	2.842	-0.131	0	3.1875	-25.8125	client_1	reject	positive
19.502	2.842	-0.035	0	2.1875	-12.8125	client_1	reject	positive
26.252	2.842	-0.099	0	-14.8125	20.1875	client_2	accept	positive
33.252	2.842	-0.211	0	-13.8125	-8.8125	client_2	reject	positive
39.002	2.842	0.315	0	-16.8125	10.1875	client_1	reject	negative
48.752	2.842	-0.233	0	-11.8125	19.1875	client_2	accept	positive
55.502	2.842	-0.005	0	-0.8125	-9.8125	client_1	reject	positive
62.502	2.842	-0.269	0	24.1875	1.1875	client_2	accept	positive
73.502	2.842	0.012	0	6.1875	-15.8125	client_1	accept	negative
82.252	2.842	-0.171	0	12.1875	6.1875	client_1	accept	positive
90.502	2.842	-0.132	0	5.1875	-9.8125	client_1	accept	positive
97.752	2.842	-0.266	0	10.1875	7.1875	client_2	accept	positive
104.002	2.842	0.076	0	-3.8125	-18.8125	client_1	reject	positive
112.252	2.842	-0.054	0	18.1875	1.1875	client_2	accept	negative
120.502	2.842	0.156	0	-4.8125	10.1875	client_2	reject	positive
127.502	2.842	-0.033	0	7.1875	8.1875	client_2	accept	positive
134.002	2.842	0.09	0	-18.8125	-3.8125	client_1	reject	positive
143.252	2.842	-0.038	0	7.1875	6.1875	client_1	accept	positive
149.252	2.842	-0.21	0	-10.8125	4.1875	client_1	reject	negative
157.752	2.842	-0.178	0	5.1875	6.1875	client_2	accept	negative
170.252	2.842	-0.006	0	2.1875	-24.8125	client_2	reject	positive
179.252	2.842	0.036	0	-7.8125	14.1875	client_2	accept	positive
189.752	2.842	-0.168	0	0.1875	-22.8125	client_1	reject	positive
195.252	2.842	0.211	0	-11.8125	5.1875	client_2	accept	negative
200.752	2.842	0.076	0	-3.8125	15.1875	client_1	accept	positive
210.002	2.842	0.109	0	-12.8125	1.1875	client_1	reject	positive
219.252	2.842	0.211	0	16.1875	4.1875	client_2	accept	positive
224.752	2.842	0.53	0	16.1875	-19.8125	client_1	reject	negative
236.002	2.842	0.115	0	1.1875	13.1875	client_2	accept	positive
243.752	2.842	-0.15	0	16.1875	4.1875	client_1	accept	positive
249.752	2.842	0.069	0	-0.8125	-9.8125	client_2	reject	positive
256.502	2.842	-0.198	0	-18.8125	16.1875	client_1	accept	positive
264.002	2.842	0.302	0	14.1875	-22.8125	client_1	accept	negative
273.502	2.842	0.262	0	-17.8125	11.1875	client_2	reject	positive
284.752	2.842	-0.22	0	-4.8125	16.1875	client_2	accept	positive
290.502	2.842	-0.067	0	4.1875	12.1875	client_2	accept	positive
297.252	2.842	-0.109	0	23.1875	-0.8125	client_2	accept	negative
303.002	2.842	-0.107	0	-18.8125	16.1875	client_2	accept	negative
310.502	2.842	-0.294	0	-13.8125	14.1875	client_2	accept	negative
321.002	2.842	0.305	0	16.1875	-24.8125	client_1	reject	positive
328.002	2.842	0.043	0	-0.8125	-21.8125	client_1	reject	positive
336.002	2.842	-0.099	0	10.1875	10.1875	client_1	accept	positive
344.502	2.842	-0.084	0	-0.8125	-4.8125	client_1	accept	positive
354.502	2.842	0.077	0	-5.8125	-16.8125	client_1	reject	positive
361.752	2.842	0.16	0	8.1875	-17.8125	client_2	reject	positive
368.252	2.842	0.265	0	21.1875	2.1875	client_2	accept	positive
374.002	2.842	-0.02	0	-8.8125	17.1875	client_2	accept	positive
