onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.502	3.4528	-0.0748	0	-13.8125	6.5417	client_1	accept	positive
13.502	3.4528	-0.6208	0	-23.8125	0.5417	client_2	reject	positive
23.002	3.4528	0.2952	0	-17.8125	15.5417	client_2	reject	positive
30.502	3.4528	0.1642	0	-11.8125	4.5417	client_1	accept	positive
39.752	3.4528	-0.2128	0	-19.8125	21.5417	client_2	reject	negative
47.502	3.4528	0.1432	0	-0.8125	8.5417	client_1	accept	positive
53.752	3.4528	0.3562	0	16.1875	-25.4583	client_1	reject	positive
61.502	3.4528	-0.3528	0	-0.8125	-22.4583	client_1	reject	positive
70.502	3.4528	-0.5698	0	-12.8125	-10.4583	client_1	reject	positive
79.252	3.4528	0.2992	0	-11.8125	18.5417	client_2	accept	positive
86.002	3.4528	0.4832	0	20.1875	2.5417	client_1	accept	positive
92.002	3.4528	0.5632	0	-16.8125	9.5417	client_1	reject	negative
100.502	3.4528	0.6183	0	15.1875	-19.4583	client_1	reject	negative
110.753	3.4528	-8.0E-4	0	9.1875	-13.4583	client_2	reject	positive
121.252	3.4528	-0.4818	0	15.1875	-24.4583	client_2	reject	positive
128.502	3.4528	0.0572	0	-6.8125	-4.4583	client_1	reject	positive
135.002	3.4528	0.0552	0	1.1875	-24.4583	client_1	reject	positive
142.502	3.4528	0.3012	0	11.1875	4.5417	client_2	reject	positive
150.752	3.4528	0.0852	0	6.1875	-16.4583	client_2	reject	positive
156.254	3.4528	0.3212	0	-13.8125	14.5417	client_2	reject	positive
163.002	3.4528	0.2272	0	-6.8125	16.5417	client_2	accept	positive
169.252	3.4528	0.4192	0	4.1875	9.5417	client_2	accept	positive
174.752	3.4528	-0.0968	0	-8.8125	-14.4583	client_1	reject	positive
181.252	3.4528	0.3142	0	10.1875	6.5417	client_2	reject	negative
187.002	3.4528	-0.3368	0	8.1875	5.5417	client_2	reject	positive
193.752	3.4528	0.1452	0	22.1875	2.5417	client_2	reject	negative
199.502	3.4528	-0.1148	0	14.1875	5.5417	client_2	accept	positive
205.502	3.4528	-0.4738	0	-16.8125	20.5417	client_2	accept	positive
212.502	3.4528	-0.6148	0	-2.8125	15.5417	client_1	accept	positive
218.752	3.4528	0.2772	0	4.1875	-14.4583	client_1	reject	positive
226.502	3.4528	-0.4978	0	12.1875	6.5417	client_2	reject	negative
233.252	3.4528	-0.1548	0	-3.8125	-2.4583	client_1	accept	positive
241.002	3.4528	-0.1338	0	-4.8125	15.5417	client_2	accept	positive
246.502	3.4528	-0.3098	0	-2.8125	-8.4583	client_1	reject	positive
253.502	3.4528	0.4242	0	2.1875	-13.4583	client_1	reject	positive
260.258	3.4528	-0.0348	0	20.1875	0.5417	client_1	accept	positive
267.502	3.4528	0.5432	0	13.1875	5.5417	client_1	accept	positive
278.252	3.4528	0.1302	0	-21.8125	13.5417	client_2	reject	positive
286.752	3.4528	0.0462	0	-8.8125	2.5417	client_1	accept	positive
292.252	3.4528	0.0932	0	21.1875	0.5417	client_2	reject	positive
299.252	3.4528	-0.5138	0	-3.8125	-19.4583	client_1	reject	positive
305.502	3.4528	0.1202	0	6.1875	-16.4583	client_1	reject	positive
318.002	3.4528	-0.5828	0	0.1875	-23.4583	client_2	reject	positive
325.502	3.4528	0.5192	0	15.1875	4.5417	client_2	accept	positive
334.252	3.4528	0.2602	0	3.1875	7.5417	client_2	accept	negative
340.252	3.4528	-0.4038	0	-24.8125	1.5417	client_1	reject	positive
346.502	3.4528	-0.4848	0	9.1875	10.5417	client_1	accept	positive
355.752	3.4528	-0.1978	0	-3.8125	15.5417	client_2	accept	positive
