onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.002	2.9684	0.2606	0	12.7708	-21.2083	client_1	reject	positive
11.752	2.9684	-0.1034	0	12.7708	3.7917	client_2	accept	negative
20.002	2.9684	-0.1284	0	-1.2292	14.7917	client_1	reject	negative
26.252	2.9684	0.3266	0	6.7708	-10.2083	client_1	reject	negative
32.002	2.9684	-0.0414	0	4.7708	12.7917	client_2	accept	positive
41.002	2.9684	0.1556	0	11.7708	-20.2083	client_2	reject	positive
47.752	2.9684	0.0676	0	14.7708	5.7917	client_1	accept	positive
53.502	2.9684	0.0546	0	-16.2292	20.7917	client_2	accept	positive
59.252	2.9684	0.0236	0	-21.2292	9.7917	client_1	reject	positive
66.252	2.9684	-0.1174	0	3.7708	-25.2083	client_2	reject	positive
72.502	2.9684	-0.2814	0	-18.2292	6.7917	client_2	reject	positive
82.002	2.9684	-0.2514	0	-11.2292	0.7917	client_1	reject	positive
90.752	2.9684	0.0846	0	-8.2292	2.7917	client_1	reject	negative
99.252	2.9684	0.4866	0	11.7708	-14.2083	client_1	reject	negative
105.002	2.9684	0.0336	0	-12.2292	15.7917	client_2	accept	positive
112.752	2.9684	0.1836	0	-3.2292	12.7917	client_1	accept	positive
121.752	2.9684	0.0706	0	-0.2292	-21.2083	client_1	reject	positive
129.502	2.9684	-0.0404	0	2.7708	-24.2083	client_1	reject	positive
135.752	2.9684	-0.0964	0	-14.2292	19.7917	client_1	accept	positive
142.752	2.9684	-0.1074	0	14.7708	2.7917	client_2	accept	negative
149.752	2.9684	0.1506	0	17.7708	-20.2083	client_1	reject	negative
158.502	2.9684	-0.2544	0	-5.2292	13.7917	client_2	accept	positive
164.252	2.9684	0.0036	0	17.7708	-20.2083	client_2	accept	negative
169.752	2.9684	0.3576	0	-15.2292	-6.2083	client_1	reject	positive
176.752	2.9684	0.7446	0	15.7708	-23.2083	client_1	reject	positive
185.752	2.9684	-0.0964	0	-15.2292	17.7917	client_2	accept	positive
195.002	2.9684	-0.0334	0	16.7708	-19.2083	client_1	reject	negative
201.503	2.9684	-0.2194	0	25.7708	0.7917	client_2	accept	positive
208.502	2.9684	0.0616	0	-16.2292	4.7917	client_1	reject	positive
215.002	2.9684	-0.3914	0	-14.2292	19.7917	client_2	accept	positive
221.002	2.9684	0.4686	0	13.7708	-16.2083	client_1	accept	positive
230.002	2.9684	0.7616	0	2.7708	-12.2083	client_1	accept	negative
238.502	2.9684	-0.2454	0	11.7708	3.7917	client_2	accept	negative
245.752	2.9684	-0.2144	0	8.7708	7.7917	client_2	accept	positive
251.752	2.9684	-0.3814	0	-6.2292	16.7917	client_2	accept	positive
263.502	2.9684	0.2326	0	-11.2292	-10.2083	client_1	reject	positive
270.252	2.9684	0.2226	0	-16.2292	10.7917	client_2	accept	negative
279.002	2.9684	-0.2664	0	-7.2292	11.7917	client_2	accept	negative
291.252	2.9684	-0.2254	0	-15.2292	14.7917	client_1	accept	positive
297.503	2.9684	-0.1534	0	15.7708	2.7917	client_1	accept	positive
303.002	2.9684	-0.1224	0	0.7708	13.7917	client_2	accept	positive
308.752	2.9684	-0.3354	0	-7.2292	13.7917	client_2	accept	positive
318.502	2.9684	-0.4124	0	4.7708	6.7917	client_2	accept	negative
327.752	2.9684	-0.2874	0	-1.2292	9.7917	client_2	accept	negative
334.002	2.9684	0.1986	0	5.7708	11.7917	client_2	accept	positive
340.502	2.9684	0.1436	0	6.7708	-28.2083	client_1	reject	positive
346.502	2.9684	-0.0864	0	-5.2292	-16.2083	client_1	reject	positive
359.002	2.9684	-0.1984	0	-19.2292	-2.2083	client_2	reject	positive
