onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.252	3.0775	-0.1345	0	1.7292	-25.9375	client_1	reject	positive
7.252	3.0775	0.1625	0	23.7292	-1.9375	client_2	accept	negative
12.752	3.0775	-0.3055	0	-8.2708	-4.9375	client_1	reject	positive
21.002	3.0775	0.3165	0	6.7292	11.0625	client_2	reject	negative
26.502	3.0775	0.0205	0	7.7292	10.0625	client_1	accept	positive
34.502	3.0775	-0.1145	0	-4.2708	12.0625	client_2	accept	positive
43.502	3.0775	-0.0645	0	-4.2708	-7.9375	client_2	reject	positive
51.252	3.0775	0.0405	0	7.7292	10.0625	client_2	accept	positive
59.502	3.0775	0.1055	0	15.7292	-20.9375	client_1	reject	negative
71.502	3.0775	-0.4555	0	-7.2708	16.0625	client_2	accept	positive
77.252	3.0775	0.8165	0	9.7292	-14.9375	client_1	reject	negative
88.252	3.0775	-0.2965	0	1.7292	10.0625	client_2	accept	positive
96.752	3.0775	0.0245	0	-7.2708	-16.9375	client_1	reject	positive
102.752	3.0775	0.0495	0	-23.2708	14.0625	client_1	accept	positive
108.252	3.0775	-0.1065	0	19.7292	0.0625	client_1	accept	positive
117.252	3.0775	0.0245	0	-1.2708	8.0625	client_2	accept	negative
124.002	3.0775	-0.0045	0	-17.2708	9.0625	client_2	reject	positive
129.753	3.0775	-0.1965	0	1.7292	10.0625	client_1	accept	positive
137.002	3.0775	-0.0345	0	11.7292	6.0625	client_2	accept	positive
143.252	3.0775	-0.3795	0	-13.2708	19.0625	client_2	accept	positive
150.752	3.0775	0.2545	0	20.7292	0.0625	client_2	reject	positive
158.252	3.0775	-0.2015	0	1.7292	-13.9375	client_1	reject	positive
166.252	3.0775	-0.0665	0	14.7292	4.0625	client_2	accept	positive
173.252	3.0775	-0.2175	0	16.7292	4.0625	client_2	accept	positive
179.252	3.0775	-0.1155	0	5.7292	11.0625	client_2	accept	positive
186.252	3.0775	0.2685	0	0.7292	8.0625	client_1	accept	positive
198.752	3.0775	0.0185	0	8.7292	-19.9375	client_1	reject	positive
205.253	3.0775	0.1235	0	-21.2708	-2.9375	client_1	reject	positive
211.752	3.0775	0.0875	0	-12.2708	13.0625	client_2	accept	negative
218.252	3.0775	-0.2415	0	-10.2708	-13.9375	client_2	reject	positive
224.252	3.0775	-0.2665	0	3.7292	-14.9375	client_2	reject	positive
236.502	3.0775	-0.3425	0	-9.2708	-14.9375	client_1	reject	positive
242.502	3.0775	0.0165	0	-1.2708	-4.9375	client_1	reject	negative
248.752	3.0775	-0.1165	0	1.7292	13.0625	client_1	accept	positive
260.752	3.0775	-0.1275	0	0.7292	-6.9375	client_1	accept	positive
271.252	3.0775	-0.2045	0	-20.2708	12.0625	client_1	accept	positive
278.502	3.0775	0.5825	0	-0.2708	10.0625	client_2	accept	positive
289.752	3.0775	-0.0165	0	-11.2708	-12.9375	client_1	reject	positive
296.252	3.0775	-0.3025	0	-13.2708	-10.9375	client_2	reject	positive
303.502	3.0775	-0.2305	0	-2.2708	-9.9375	client_1	reject	positive
309.502	3.0775	0.9245	0	22.7292	-0.9375	client_2	reject	positive
321.252	3.0775	0.5635	0	-25.2708	1.0625	client_1	reject	positive
327.001	3.0775	0.4995	0	5.7292	-16.9375	client_1	reject	positive
332.503	3.0775	0.2685	0	12.7292	3.0625	client_2	accept	negative
338.002	3.0775	0.0025	0	20.7292	2.0625	client_1	accept	positive
347.002	3.0775	-0.4285	0	-5.2708	15.0625	client_2	accept	positive
354.004	3.0775	-0.1445	0	-15.2708	7.0625	client_2	accept	negative
364.252	3.0775	-0.0535	0	-11.2708	-1.9375	client_1	reject	positive
