onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
5.501	1.8786	client_1	-8.5625	4.5	accept	0	-0.1486
12.0	1.8786	client_1	-0.5625	6.5	accept	0	-0.1776
16.75	1.8786	client_1	11.4375	4.5	accept	0	-0.2056
21.5	1.8786	client_2	7.4375	2.5	accept	0	-0.1176
28.75	1.8786	client_2	11.4375	0.5	reject	0	-0.1616
34.5	1.8786	client_2	-0.5625	-1.5	reject	0	-0.1616
43.5	1.8786	client_2	-0.5625	2.5	accept	0	-0.0216
50.0	1.8786	client_1	-0.5625	2.5	accept	0	-0.1816
55.25	1.8786	client_1	-0.5625	-5.5	accept	0	-0.2186
60.0	1.8786	client_2	-12.5625	0.5	reject	0	-0.2186
67.0	1.8786	client_2	-12.5625	6.5	reject	0	-0.1236
72.5	1.8786	client_1	-12.5625	-7.5	reject	0	0.0274
78.75	1.8786	client_2	7.4375	6.5	accept	0	-0.0406
90.0	1.8786	client_1	15.4375	4.5	accept	0	-0.1376
96.0	1.8786	client_2	11.4375	2.5	accept	0	0.4164
100.5	1.8786	client_2	15.4375	6.5	accept	0	0.0554
105.5	1.8786	client_1	-0.5625	-3.5	accept	0	0.1554
110.25	1.8786	client_1	-4.5625	4.5	accept	0	-0.0216
116.5	1.8786	client_2	-12.5625	-3.5	reject	0	-0.0276
121.25	1.8786	client_2	-8.5625	-7.5	reject	0	0.0694
126.25	1.8786	client_2	-8.5625	6.5	reject	0	-0.0116
130.75	1.8786	client_2	3.4375	4.5	reject	0	0.3314
136.25	1.8786	client_1	7.4375	-5.5	accept	0	-0.1566
141.25	1.8786	client_1	3.4375	-3.5	accept	0	-0.1146
147.0	1.8786	client_2	11.4375	-1.5	reject	0	-0.0706
151.75	1.8786	client_1	-0.5625	-1.5	accept	0	-0.1166
160.5	1.8786	client_2	-4.5625	-1.5	reject	0	0.0564
167.75	1.8786	client_2	-0.5625	-3.5	reject	0	-0.0586
173.0	1.8786	client_2	7.4375	4.5	accept	0	0.2324
178.0	1.8786	client_2	-8.5625	2.5	reject	0	-0.0246
185.25	1.8786	client_1	-8.5625	-3.5	reject	0	0.0474
191.25	1.8786	client_1	11.4375	-7.5	accept	0	-0.0936
196.25	1.8786	client_1	-4.5625	0.5	accept	0	0.2534
202.25	1.8786	client_1	-8.5625	6.5	accept	0	0.0044
207.25	1.8786	client_2	-12.5625	-1.5	reject	0	-0.0856
212.5	1.8786	client_2	3.4375	-7.5	reject	0	0.2924
218.25	1.8786	client_1	3.4375	0.5	accept	0	-0.0866
225.0	1.8786	client_1	-8.5625	2.5	accept	0	-0.0886
235.25	1.8786	client_1	11.4375	0.5	accept	0	0.0294
242.25	1.8786	client_2	-4.5625	2.5	reject	0	-0.1096
252.25	1.8786	client_2	-12.5625	4.5	reject	0	-0.1296
259.0	1.8786	client_1	-12.5625	6.5	accept	0	0.0604
270.5	1.8786	client_1	3.4375	2.5	accept	0	-0.1336
280.25	1.8786	client_1	-12.5625	-1.5	reject	0	-0.0016
290.5	1.8786	client_1	-8.5625	-1.5	reject	0	0.1234
297.75	1.8786	client_2	3.4375	6.5	accept	0	0.3184
304.75	1.8786	client_2	11.4375	-7.5	reject	0	-0.0186
313.25	1.8786	client_2	7.4375	-5.5	reject	0	0.5334
318.0	1.8786	client_2	-12.5625	-7.5	reject	0	0.0124
328.0	1.8786	client_1	7.4375	-3.5	accept	0	-0.1116
335.0	1.8786	client_2	15.4375	-1.5	reject	0	0.6494
339.75	1.8786	client_2	-4.5625	4.5	reject	0	0.0934
346.25	1.8786	client_1	15.4375	6.5	accept	0	-0.3066
355.25	1.8786	client_1	-4.5625	2.5	accept	0	0.0554
362.0	1.8786	client_1	7.4375	-1.5	accept	0	-0.0416
367.0	1.8786	client_1	15.4375	-5.5	accept	0	-0.1086
374.25	1.8786	client_2	-8.5625	0.5	reject	0	0.5424
381.75	1.8786	client_2	3.4375	-3.5	reject	0	-0.1236
386.25	1.8786	client_1	-4.5625	-5.5	reject	0	-0.0466
393.5	1.8786	client_2	-4.5625	-5.5	reject	0	-0.1236
399.0	1.8786	client_2	15.4375	0.5	reject	0	-0.1366
404.0	1.8786	client_1	3.4375	-5.5	accept	0	-0.1426
409.25	1.8786	client_1	-12.5625	0.5	reject	0	0.0594
413.75	1.8786	client_1	-8.5625	0.5	accept	0	-0.0146
