onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.502	1.9546	client_2	-9.0	2.9688	reject	0	0.1854
7.002	1.9546	client_2	15.0	2.9688	accept	0	-0.3846
11.502	1.9546	client_1	11.0	-7.0312	accept	0	-0.3296
23.002	1.9546	client_2	11.0	2.9688	accept	0	-0.2676
28.002	1.9546	client_1	3.0	-5.0312	accept	0	-0.3056
32.752	1.9546	client_2	-13.0	0.9688	reject	0	-0.0206
42.252	1.9546	client_1	7.0	-7.0312	accept	0	0.3254
49.502	1.9546	client_1	-13.0	4.9688	accept	0	0.0454
56.252	1.9546	client_2	15.0	-3.0312	accept	0	-0.3216
62.252	1.9546	client_1	-13.0	0.9688	reject	0	-0.0836
66.752	1.9546	client_1	-13.0	-3.0312	reject	0	-0.1366
72.252	1.9546	client_1	-1.0	4.9688	accept	0	0.0814
78.252	1.9546	client_1	-1.0	2.9688	accept	0	-0.2696
85.252	1.9546	client_1	15.0	4.9688	accept	0	-0.3896
92.502	1.9546	client_1	7.0	-1.0312	accept	0	-0.1326
100.502	1.9546	client_2	-1.0	0.9688	reject	0	0.7464
105.752	1.9546	client_2	-1.0	-3.0312	reject	0	0.6264
111.002	1.9546	client_2	11.0	6.9688	accept	0	-0.2366
117.002	1.9546	client_2	15.0	4.9688	accept	0	-0.2876
122.252	1.9546	client_1	11.0	2.9688	accept	0	-0.1666
129.002	1.9546	client_1	15.0	-5.0312	accept	0	-0.3956
134.752	1.9546	client_2	-1.0	4.9688	accept	0	0.0294
139.502	1.9546	client_2	-9.0	-1.0312	reject	0	0.2584
149.502	1.9546	client_1	-1.0	-3.0312	accept	0	0.0844
154.252	1.9546	client_2	7.0	4.9688	accept	0	0.0424
161.002	1.9546	client_1	-5.0	2.9688	accept	0	-0.0826
165.752	1.9546	client_2	-9.0	-5.0312	reject	0	-0.0266
171.252	1.9546	client_1	11.0	-1.0312	accept	0	-0.0026
178.002	1.9546	client_1	-5.0	0.9688	accept	0	0.2174
183.502	1.9546	client_2	15.0	-7.0312	reject	0	1.0044
191.002	1.9546	client_2	7.0	2.9688	accept	0	-0.2866
199.752	1.9546	client_2	-9.0	4.9688	reject	0	0.1894
204.252	1.9546	client_1	15.0	-1.0312	accept	0	-0.2736
209.752	1.9546	client_1	7.0	0.9688	accept	0	-0.1726
215.252	1.9546	client_1	-5.0	-1.0312	accept	0	0.1104
220.252	1.9546	client_1	-5.0	-3.0312	accept	0	-0.1736
228.752	1.9546	client_2	-1.0	-5.0312	reject	0	0.2314
233.252	1.9546	client_2	11.0	-5.0312	reject	0	-0.2506
240.252	1.9546	client_2	-9.0	6.9688	accept	0	0.3794
250.002	1.9546	client_1	7.0	6.9688	accept	0	-0.2916
254.502	1.9546	client_2	-5.0	4.9688	accept	0	0.5464
259.002	1.9546	client_2	-13.0	2.9688	reject	0	0.2724
268.252	1.9546	client_1	-13.0	6.9688	accept	0	0.0674
275.752	1.9546	client_1	-5.0	-5.0312	accept	0	0.5924
284.002	1.9546	client_1	3.0	2.9688	accept	0	-0.3466
291.252	1.9546	client_2	-1.0	-7.0312	reject	0	0.2474
299.002	1.9546	client_2	3.0	-1.0312	reject	0	0.7694
308.252	1.9546	client_1	15.0	2.9688	accept	0	-0.3726
315.002	1.9546	client_2	-5.0	-3.0312	reject	0	0.1604
321.252	1.9546	client_2	-1.0	6.9688	accept	0	-0.1406
329.252	1.9546	client_2	-13.0	-5.0312	reject	0	-0.1476
334.002	1.9546	client_1	-13.0	-5.0312	reject	0	0.1474
339.253	1.9546	client_2	-5.0	-5.0312	reject	0	-0.2836
346.002	1.9546	client_2	7.0	-7.0312	reject	0	-0.1206
353.502	1.9546	client_2	11.0	-3.0312	reject	0	0.8534
360.252	1.9546	client_2	11.0	4.9688	accept	0	-0.3356
364.752	1.9546	client_1	-1.0	6.9688	accept	0	-0.3386
373.752	1.9546	client_1	-13.0	2.9688	accept	0	0.3034
378.752	1.9546	client_1	-9.0	4.9688	accept	0	-0.1206
388.502	1.9546	client_2	-13.0	-3.0312	reject	0	-0.1336
396.002	1.9546	client_1	-9.0	-5.0312	reject	0	-0.1516
402.252	1.9546	client_1	-5.0	-7.0312	reject	0	-0.0716
407.752	1.9546	client_1	-9.0	-7.0312	reject	0	-0.3416
412.502	1.9546	client_2	-9.0	0.9688	reject	0	-0.3226
