onset	duration	normalized_rt	gains	losses	missing_trials	outcome
5.002	1.4892	0.7768	-2.0	5.0	0	accept
9.252	1.4892	-0.3422	2.0	7.0	0	accept
14.752	1.4892	-0.4102	14.0	-1.0	0	accept
24.252	1.4892	0.1548	10.0	3.0	0	accept
29.252	1.4892	-0.1442	6.0	5.0	0	accept
33.252	1.4892	0.3448	-14.0	5.0	0	reject
42.252	1.4892	0.3308	-10.0	5.0	0	reject
48.752	1.4892	-0.0092	2.0	1.0	0	accept
53.252	1.4892	-0.5672	2.0	5.0	0	accept
57.752	1.4892	-0.3052	14.0	5.0	0	accept
63.752	1.4892	0.0298	-2.0	-1.0	0	accept
69.502	1.4892	-0.6362	14.0	-5.0	0	accept
78.502	1.4892	-0.3412	2.0	3.0	0	accept
85.502	1.4892	-0.0782	-10.0	-1.0	0	reject
90.502	1.4892	0.5038	6.0	-3.0	0	reject
95.002	1.4892	0.2988	10.0	-3.0	0	reject
104.002	1.4892	0.3578	-6.0	1.0	0	accept
107.503	1.4892	-0.0672	-10.0	-3.0	0	reject
112.002	1.4892	0.0228	-6.0	-5.0	0	reject
117.752	1.4892	-0.2302	10.0	1.0	0	accept
124.752	1.4892	-0.0832	-2.0	3.0	0	accept
129.002	1.4892	0.4338	6.0	1.0	0	reject
132.752	1.4892	0.1188	6.0	-7.0	0	reject
138.002	1.4892	-0.4592	-2.0	-7.0	0	reject
142.502	1.4892	0.3258	-14.0	1.0	0	reject
147.002	1.4892	-0.3462	6.0	3.0	0	accept
152.002	1.4892	-0.4282	14.0	3.0	0	accept
156.752	1.4892	0.4268	-14.0	7.0	0	reject
161.502	1.4892	0.3378	-14.0	-5.0	0	reject
166.252	1.4892	0.5868	6.0	-5.0	0	accept
171.502	1.4892	-0.5132	-14.0	3.0	0	reject
177.002	1.4892	0.0628	-10.0	7.0	0	accept
183.752	1.4892	0.5698	2.0	-3.0	0	reject
188.252	1.4892	0.2788	-14.0	-1.0	0	reject
195.502	1.4892	0.4168	-2.0	-3.0	0	accept
200.002	1.4892	0.0278	-6.0	-1.0	0	reject
204.502	1.4892	-0.3312	6.0	-1.0	0	accept
210.002	1.4892	-0.3972	14.0	1.0	0	accept
218.502	1.4892	-0.4392	-14.0	-3.0	0	reject
222.002	1.4892	0.8098	10.0	-5.0	0	accept
229.252	1.4892	0.1208	-2.0	1.0	0	accept
234.752	1.4892	0.1698	-10.0	3.0	0	reject
238.752	1.4892	0.1178	-6.0	7.0	0	accept
243.252	1.4892	-0.4222	14.0	7.0	0	accept
247.502	1.4892	0.8788	-6.0	3.0	0	reject
253.002	1.4892	-0.3412	-2.0	7.0	0	accept
259.002	1.4892	0.0698	-2.0	-5.0	0	reject
266.002	1.4892	0.8348	2.0	-1.0	0	accept
271.252	1.4892	-0.5562	10.0	7.0	0	accept
281.752	1.4892	0.6638	10.0	-7.0	0	reject
288.002	1.4892	0.3698	14.0	-7.0	0	reject
293.252	1.4892	1.0108	14.0	-3.0	1	n/a
302.502	1.4892	-0.7652	6.0	7.0	0	accept
306.252	1.4892	-0.7282	10.0	5.0	0	accept
310.752	1.4892	-0.2692	2.0	-7.0	0	reject
321.252	1.4892	0.2668	2.0	-5.0	0	reject
325.502	1.4892	-0.2912	-14.0	-7.0	0	reject
329.502	1.4892	-0.4942	-10.0	-5.0	0	reject
333.252	1.4892	-0.2422	10.0	-1.0	0	accept
337.002	1.4892	-0.1182	-6.0	5.0	0	accept
343.252	1.4892	0.3318	-6.0	-3.0	0	reject
348.502	1.4892	-0.4082	-10.0	-7.0	0	reject
353.002	1.4892	-0.1062	-10.0	1.0	0	reject
357.002	1.4892	-0.1702	-6.0	-7.0	0	reject
