onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.002	3.3917	0.0453	0	6.0	7.4167	client_1	accept	positive
6.752	3.3917	-0.5347	0	-9.0	-13.5833	client_1	reject	positive
18.252	3.3917	-0.6497	0	-7.0	15.4167	client_2	accept	positive
28.002	3.3917	-0.2027	0	0.0	-22.5833	client_1	reject	positive
37.752	3.3917	-0.6917	0	-3.0	14.4167	client_2	accept	positive
45.502	3.3917	0.1663	0	-16.0	3.4167	client_1	reject	positive
55.752	3.3917	-0.0997	0	20.0	2.4167	client_2	accept	positive
62.002	3.3917	0.5783	0	16.0	1.4167	client_2	accept	negative
67.752	3.3917	0.5133	0	-8.0	-3.5833	client_1	reject	positive
73.752	3.3917	0.2823	0	-14.0	-8.5833	client_2	reject	positive
81.502	3.3917	0.2173	0	-3.0	11.4167	client_2	accept	positive
88.752	3.3917	0.2273	0	-1.0	-4.5833	client_1	accept	positive
95.752	3.3917	0.9593	0	4.0	6.4167	client_2	reject	positive
102.252	3.3917	0.0953	0	0.0	-5.5833	client_1	accept	positive
111.502	3.3917	-0.3677	0	-22.0	-0.5833	client_1	reject	positive
121.752	3.3917	-0.7247	0	-12.0	14.4167	client_2	accept	positive
128.002	3.3917	0.0873	0	8.0	-12.5833	client_1	accept	positive
140.502	3.3917	-0.0187	0	-9.0	-2.5833	client_1	reject	positive
146.502	3.3917	0.7433	0	2.0	-12.5833	client_1	accept	negative
155.752	3.3917	-0.1507	0	-12.0	17.4167	client_2	accept	positive
167.002	3.3917	0.8583	0	3.0	-13.5833	client_1	accept	negative
172.502	3.3917	0.6713	0	15.0	-23.5833	client_1	accept	negative
180.002	3.3917	0.0733	0	8.0	9.4167	client_2	accept	positive
187.502	3.3917	-0.6067	0	6.0	10.4167	client_2	accept	positive
197.502	3.3917	0.1723	0	11.0	8.4167	client_1	accept	positive
203.502	3.3917	-0.5057	0	-15.0	19.4167	client_1	accept	positive
215.002	3.3917	-0.1997	0	14.0	2.4167	client_2	accept	negative
222.502	3.3917	0.4613	0	-1.0	-21.5833	client_1	reject	positive
228.502	3.3917	-0.2057	0	4.0	6.4167	client_1	reject	negative
236.252	3.3917	-0.3187	0	10.0	9.4167	client_2	accept	positive
242.252	3.3917	-0.6607	0	-17.0	16.4167	client_2	accept	positive
250.752	3.3917	-0.7307	0	-11.0	14.4167	client_2	accept	positive
259.752	3.3917	0.6853	0	-14.0	7.4167	client_2	reject	positive
266.252	3.3917	-0.3837	0	2.0	-24.5833	client_1	reject	positive
273.252	3.3917	-0.0117	0	10.0	3.4167	client_2	reject	positive
279.252	3.3917	0.0843	0	6.0	5.4167	client_2	accept	negative
289.002	3.3917	0.5623	0	25.0	0.4167	client_1	accept	positive
294.752	3.3917	-0.5307	0	-17.0	-5.5833	client_1	reject	positive
302.002	3.3917	0.7583	0	17.0	-25.5833	client_2	reject	positive
308.252	3.3917	0.5213	0	21.0	1.4167	client_2	reject	negative
316.252	3.3917	-0.3077	0	14.0	2.4167	client_1	accept	positive
322.252	3.3917	-0.1647	0	-24.0	10.4167	client_2	reject	positive
328.502	3.3917	0.1163	0	-23.0	15.4167	client_1	accept	positive
336.252	3.3917	-0.3187	0	3.0	-7.5833	client_1	accept	positive
346.252	3.3917	-0.2387	0	17.0	0.4167	client_2	reject	positive
351.752	3.3917	0.3743	0	-8.0	1.4167	client_2	reject	positive
359.752	3.3917	-0.1547	0	16.0	-19.5833	client_1	accept	positive
365.252	3.3917	-0.4757	0	-12.0	-10.5833	client_2	reject	positive
