onset	duration	normalized_rt	gains	losses	missing_trials	outcome
3.002	1.229	-0.053	-2.0	-5.0	0	accept
6.752	1.229	1.271	-14.0	-1.0	1	n/a
13.753	1.229	-0.546	14.0	3.0	0	accept
18.502	1.229	0.045	14.0	5.0	0	accept
25.752	1.229	-0.314	6.0	-5.0	0	accept
29.252	1.229	0.119	2.0	1.0	0	accept
37.752	1.229	-0.581	-6.0	-1.0	0	accept
44.752	1.229	-0.22	-10.0	1.0	0	accept
48.752	1.229	-0.063	6.0	-7.0	0	accept
53.252	1.229	0.21	-14.0	-7.0	0	reject
58.502	1.229	-0.111	-10.0	-1.0	0	accept
64.502	1.229	-0.371	-14.0	7.0	0	accept
70.252	1.229	-0.338	-10.0	5.0	0	accept
74.002	1.229	-0.093	-6.0	-3.0	0	accept
78.252	1.229	0.421	-6.0	-7.0	0	reject
83.252	1.229	-0.245	6.0	-3.0	0	accept
89.502	1.229	-0.462	6.0	5.0	0	accept
93.002	1.229	-0.548	2.0	7.0	0	accept
97.002	1.229	-0.165	10.0	3.0	0	accept
100.752	1.229	0.012	-10.0	-5.0	0	reject
111.252	1.229	-0.529	2.0	3.0	0	accept
116.252	1.229	0.546	-14.0	3.0	0	accept
120.252	1.229	0.394	2.0	-7.0	0	accept
124.752	1.229	-0.038	2.0	-1.0	0	accept
135.002	1.229	-0.362	10.0	-3.0	0	accept
142.252	1.229	-0.255	-2.0	-7.0	0	accept
146.252	1.229	-0.308	-6.0	3.0	0	accept
154.002	1.229	-0.435	14.0	7.0	0	accept
159.002	1.229	0.305	6.0	-1.0	0	accept
162.502	1.229	-0.044	14.0	-5.0	0	accept
167.252	1.229	0.276	14.0	-1.0	0	accept
176.252	1.229	0.025	-2.0	5.0	0	accept
183.752	1.229	0.306	-14.0	-3.0	0	reject
192.752	1.229	-0.538	2.0	5.0	0	accept
196.252	1.229	0.05	2.0	-3.0	0	accept
202.002	1.229	0.136	-14.0	1.0	0	reject
209.252	1.229	-0.477	-6.0	7.0	0	accept
215.002	1.229	-0.613	6.0	3.0	0	accept
219.752	1.229	-0.202	-10.0	-7.0	0	reject
224.752	1.229	0.224	-6.0	-5.0	0	accept
229.252	1.229	0.771	-10.0	-3.0	0	reject
237.252	1.229	0.159	2.0	-5.0	0	accept
242.252	1.229	-0.47	6.0	7.0	0	accept
247.252	1.229	-0.626	-2.0	3.0	0	accept
252.002	1.229	-0.338	10.0	1.0	0	accept
259.502	1.229	0.606	14.0	-3.0	0	accept
263.252	1.229	0.475	-14.0	5.0	0	accept
268.502	1.229	0.588	-6.0	5.0	0	accept
276.752	1.229	0.094	10.0	-7.0	0	accept
281.502	1.229	0.013	-14.0	-5.0	0	reject
285.002	1.229	0.605	-6.0	1.0	0	accept
288.752	1.229	-0.275	-2.0	-3.0	0	accept
292.252	1.229	-0.185	-2.0	-1.0	0	accept
296.502	1.229	0.231	14.0	-7.0	0	accept
301.752	1.229	0.7	-10.0	3.0	0	accept
307.752	1.229	0.862	10.0	-1.0	0	accept
313.752	1.229	-0.343	-2.0	7.0	0	accept
317.502	1.229	-0.521	10.0	7.0	0	accept
321.502	1.229	0.643	6.0	1.0	0	accept
327.252	1.229	0.854	10.0	-5.0	0	accept
336.502	1.229	0.798	14.0	1.0	0	accept
342.002	1.229	0.193	-10.0	7.0	0	accept
349.002	1.229	-0.397	10.0	5.0	0	accept
355.252	1.229	0.406	-2.0	1.0	0	accept
