onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
2.752	2.0615	client_1	6.25	3.4062	accept	0	-0.3735
7.252	2.0615	client_1	-5.75	-0.5938	accept	0	0.0675
14.002	2.0615	client_2	-13.75	-0.5938	reject	0	-0.3905
19.002	2.0615	client_2	-9.75	-6.5938	reject	0	-0.4265
27.752	2.0615	client_1	2.25	-0.5938	accept	0	-0.3355
33.002	2.0615	client_2	10.25	5.4062	accept	0	-0.4655
39.502	2.0615	client_1	6.25	-0.5938	accept	0	-0.1615
50.252	2.0615	client_1	-9.75	-0.5938	reject	0	0.2875
58.002	2.0615	client_2	2.25	-4.5938	reject	0	0.7705
64.502	2.0615	client_2	-5.75	-2.5938	reject	0	-0.2095
71.502	2.0615	client_2	-1.75	-6.5938	reject	0	-0.1135
78.752	2.0615	client_1	-13.75	-4.5938	reject	0	-0.4335
84.252	2.0615	client_2	6.25	-4.5938	reject	0	0.1645
90.502	2.0615	client_1	2.25	5.4062	accept	0	-0.1805
98.752	2.0615	client_2	-5.75	7.4062	accept	0	0.7965
104.252	2.0615	client_1	10.25	5.4062	accept	0	-0.3515
109.002	2.0615	client_2	14.25	-2.5938	reject	0	1.2555
114.002	2.0615	client_2	10.25	1.4062	reject	0	1.3055
118.502	2.0615	client_2	-13.75	5.4062	reject	0	-0.1845
126.002	2.0615	client_2	-5.75	-0.5938	reject	0	-0.1445
132.502	2.0615	client_1	-9.75	1.4062	accept	0	0.3085
138.502	2.0615	client_1	-13.75	3.4062	reject	0	0.0665
144.252	2.0615	client_2	-9.75	3.4062	reject	0	0.2475
150.252	2.0615	client_2	-5.75	5.4062	reject	0	1.2045
157.002	2.0615	client_1	6.25	-6.5938	accept	0	0.2495
164.002	2.0615	client_1	-1.75	7.4062	accept	0	-0.4245
170.252	2.0615	client_2	-13.75	7.4062	n/a	1	1.4385
174.752	2.0615	client_2	14.25	-0.5938	accept	0	1.1025
182.252	2.0615	client_1	-5.75	-6.5938	reject	0	-0.3375
187.752	2.0615	client_1	-13.75	-2.5938	reject	0	-0.2985
197.002	2.0615	client_1	6.25	5.4062	accept	0	-0.0245
204.502	2.0615	client_1	10.25	-6.5938	accept	0	-0.0295
209.752	2.0615	client_2	-9.75	-0.5938	reject	0	-0.3155
214.252	2.0615	client_2	14.25	5.4062	accept	0	0.2825
220.502	2.0615	client_1	14.25	-2.5938	accept	0	-0.2615
226.752	2.0615	client_1	14.25	-4.5938	accept	0	-0.4735
232.252	2.0615	client_1	-9.75	-6.5938	reject	0	-0.2925
236.752	2.0615	client_2	-5.75	3.4062	n/a	1	1.4385
243.002	2.0615	client_2	-9.75	-4.5938	reject	0	-0.4275
248.752	2.0615	client_1	-5.75	5.4062	accept	0	0.0625
254.252	2.0615	client_1	10.25	-2.5938	accept	0	-0.3985
259.002	2.0615	client_2	6.25	5.4062	accept	0	0.1485
268.002	2.0615	client_2	-9.75	-2.5938	reject	0	-0.3385
273.502	2.0615	client_2	-13.75	-2.5938	reject	0	-0.4775
278.752	2.0615	client_1	2.25	1.4062	accept	0	-0.2915
285.002	2.0615	client_2	2.25	-0.5938	accept	0	1.1675
291.752	2.0615	client_2	-13.75	3.4062	reject	0	-5.0E-4
297.752	2.0615	client_2	-9.75	7.4062	accept	0	0.6485
302.253	2.0615	client_1	2.25	-2.5938	accept	0	-0.0235
309.252	2.0615	client_2	-5.75	-6.5938	reject	0	-0.3225
320.752	2.0615	client_2	6.25	-2.5938	n/a	1	1.4385
328.002	2.0615	client_1	10.25	-4.5938	accept	0	-0.2195
337.002	2.0615	client_2	14.25	-6.5938	reject	0	0.8855
344.502	2.0615	client_1	14.25	1.4062	accept	0	-0.4665
353.752	2.0615	client_1	14.25	5.4062	accept	0	-0.5045
359.752	2.0615	client_1	2.25	7.4062	accept	0	-0.5635
367.502	2.0615	client_1	2.25	3.4062	accept	0	-0.5255
375.752	2.0615	client_1	-5.75	-4.5938	reject	0	-0.3015
385.002	2.0615	client_2	6.25	-6.5938	reject	0	0.4625
390.502	2.0615	client_2	6.25	3.4062	accept	0	0.0895
395.752	2.0615	client_1	-1.75	-2.5938	reject	0	0.3575
401.002	2.0615	client_1	-1.75	3.4062	accept	0	-0.1845
407.502	2.0615	client_2	-1.75	-4.5938	reject	0	-0.0775
412.752	2.0615	client_1	14.25	3.4062	accept	0	-0.5785
