onset	duration	normalized_rt	gains	losses	missing_trials	outcome
6.252	1.4091	1.0909	-14.0	7.0	1	n/a
10.002	1.4091	-0.5571	10.0	5.0	0	accept
15.752	1.4091	0.2099	10.0	7.0	0	accept
19.752	1.4091	-0.0701	-2.0	-7.0	0	accept
24.752	1.4091	0.7789	-10.0	-5.0	0	accept
30.252	1.4091	0.5119	-10.0	-3.0	0	accept
36.252	1.4091	-0.3801	6.0	-1.0	0	reject
42.752	1.4091	1.0909	14.0	1.0	1	n/a
46.252	1.4091	-0.8211	6.0	1.0	0	accept
54.002	1.4091	0.6879	-6.0	3.0	0	accept
60.002	1.4091	-0.3201	10.0	3.0	0	reject
64.502	1.4091	-0.4871	6.0	7.0	0	reject
69.252	1.4091	-0.4021	6.0	5.0	0	reject
76.002	1.4091	0.9059	6.0	-3.0	0	reject
80.002	1.4091	0.4429	-6.0	7.0	0	reject
86.502	1.4091	0.2609	2.0	-5.0	0	reject
90.002	1.4091	0.4819	-6.0	-7.0	0	accept
97.252	1.4091	-0.1741	-14.0	3.0	0	accept
105.002	1.4091	0.7159	-10.0	-7.0	0	reject
108.502	1.4091	0.6299	-14.0	-5.0	0	reject
112.752	1.4091	0.5009	-6.0	-3.0	0	accept
118.002	1.4091	1.0909	2.0	7.0	1	n/a
124.002	1.4091	-0.4621	14.0	3.0	0	accept
129.252	1.4091	-0.0781	-6.0	5.0	0	accept
138.002	1.4091	-0.3541	6.0	-7.0	0	accept
141.752	1.4091	-0.0811	-6.0	-5.0	0	accept
145.252	1.4091	0.5029	-14.0	-3.0	0	reject
149.252	1.4091	0.3469	-2.0	-5.0	0	accept
152.752	1.4091	-0.2061	2.0	5.0	0	accept
162.002	1.4091	-0.4351	-6.0	-1.0	0	accept
165.502	1.4091	-0.8431	6.0	3.0	0	accept
171.002	1.4091	0.2389	-10.0	-1.0	0	accept
178.252	1.4091	0.3049	-10.0	7.0	0	accept
182.002	1.4091	-0.3631	10.0	1.0	0	accept
186.752	1.4091	0.0909	2.0	-3.0	0	accept
191.252	1.4091	-0.6931	10.0	-1.0	0	accept
195.252	1.4091	-0.6371	14.0	5.0	0	accept
200.502	1.4091	0.4569	10.0	-7.0	0	accept
204.752	1.4091	-0.1621	-14.0	-7.0	0	reject
208.502	1.4091	0.2349	2.0	1.0	0	accept
213.002	1.4091	-0.1161	-2.0	-1.0	0	accept
217.252	1.4091	-0.4361	2.0	-1.0	0	accept
224.002	1.4091	-0.3151	-14.0	1.0	0	reject
231.252	1.4091	-0.5591	14.0	-1.0	0	accept
235.502	1.4091	-0.6751	14.0	7.0	0	accept
240.002	1.4091	-0.5811	2.0	3.0	0	accept
246.502	1.4091	0.3719	-2.0	-3.0	0	accept
256.002	1.4091	0.7489	-10.0	5.0	0	accept
260.252	1.4091	-0.1371	-14.0	-1.0	0	reject
264.502	1.4091	0.2219	-14.0	5.0	0	accept
268.502	1.4091	-0.5641	14.0	-7.0	0	accept
276.002	1.4091	0.1539	10.0	-5.0	0	accept
284.252	1.4091	1.0909	-10.0	1.0	1	n/a
288.752	1.4091	0.1549	-2.0	3.0	0	accept
295.002	1.4091	-0.3371	-2.0	7.0	0	accept
301.252	1.4091	0.3929	6.0	-5.0	0	accept
306.752	1.4091	0.6329	10.0	-3.0	0	accept
313.002	1.4091	-0.4621	-2.0	5.0	0	accept
319.002	1.4091	0.3279	14.0	-3.0	0	accept
326.502	1.4091	0.0889	-2.0	1.0	0	accept
331.002	1.4091	0.5109	2.0	-7.0	0	reject
341.502	1.4091	-0.2161	14.0	-5.0	0	accept
346.252	1.4091	1.0909	-10.0	3.0	1	n/a
352.002	1.4091	0.0149	-6.0	1.0	0	accept
