onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.002	2.9388	-0.0108	0	7.5208	-16.875	client_2	reject	positive
7.002	2.9388	0.0102	0	-4.4792	-6.875	client_1	reject	positive
16.002	2.9388	-0.3048	0	-11.4792	17.125	client_2	accept	positive
26.252	2.9388	-0.0348	0	-3.4792	-18.875	client_1	reject	positive
31.752	2.9388	0.0242	0	-0.4792	10.125	client_2	accept	positive
37.752	2.9388	0.6292	0	-1.4792	8.125	client_2	reject	positive
44.252	2.9388	-0.1718	0	-16.4792	-5.875	client_2	reject	positive
54.752	2.9388	0.3622	0	-7.4792	1.125	client_1	accept	positive
66.502	2.9388	-0.0178	0	-0.4792	-21.875	client_1	reject	positive
73.502	2.9388	0.0592	0	-0.4792	-4.875	client_1	accept	positive
81.501	2.9388	-0.2108	0	0.5208	13.125	client_1	accept	positive
88.002	2.9388	0.0932	0	-19.4792	12.125	client_2	reject	positive
94.003	2.9388	-0.1508	0	-21.4792	9.125	client_1	reject	positive
101.502	2.9388	-0.2178	0	-20.4792	-1.875	client_1	reject	positive
109.502	2.9388	0.0632	0	6.5208	10.125	client_2	accept	positive
116.752	2.9388	-0.2928	0	-6.4792	15.125	client_2	accept	positive
126.502	2.9388	-0.0258	0	6.5208	-28.875	client_2	reject	positive
134.752	2.9388	-0.1118	0	-5.4792	-5.875	client_1	reject	positive
142.252	2.9388	0.5292	0	-11.4792	5.125	client_1	accept	positive
148.502	2.9388	-0.3568	0	-20.4792	13.125	client_1	accept	positive
156.002	2.9388	-0.3138	0	0.5208	13.125	client_2	accept	positive
161.752	2.9388	-0.2238	0	2.5208	-6.875	client_1	accept	positive
170.752	2.9388	-0.0778	0	5.5208	-27.875	client_1	reject	positive
179.502	2.9388	0.1812	0	25.5208	-2.875	client_2	reject	positive
185.502	2.9388	-0.2558	0	19.5208	2.125	client_1	accept	positive
195.502	2.9388	-0.0738	0	13.5208	-16.875	client_2	reject	positive
207.502	2.9388	-0.2478	0	-3.4792	14.125	client_2	accept	positive
214.752	2.9388	0.5162	0	7.5208	-16.875	client_1	reject	positive
220.752	2.9388	0.5102	0	-13.4792	13.125	client_2	reject	positive
229.502	2.9388	-0.1138	0	-11.4792	14.125	client_2	accept	positive
236.002	2.9388	-0.2168	0	2.5208	12.125	client_2	accept	positive
242.752	2.9388	0.0482	0	17.5208	0.125	client_2	reject	positive
249.752	2.9388	0.4552	0	18.5208	2.125	client_2	reject	negative
255.502	2.9388	-0.0058	0	24.5208	-1.875	client_1	accept	positive
266.252	2.9388	0.1672	0	9.5208	6.125	client_2	accept	positive
273.502	2.9388	0.7212	0	11.5208	5.125	client_2	reject	negative
281.252	2.9388	-0.1058	0	-9.4792	-1.875	client_1	reject	positive
287.752	2.9388	-0.1438	0	-17.4792	-4.875	client_1	reject	positive
293.502	2.9388	0.1092	0	1.5208	-11.875	client_1	reject	positive
301.002	2.9388	-0.2878	0	26.5208	-2.875	client_1	accept	positive
308.002	2.9388	0.1092	0	3.5208	6.125	client_2	reject	positive
314.252	2.9388	-0.2908	0	5.5208	11.125	client_1	accept	positive
321.502	2.9388	-0.2408	0	-6.4792	-15.875	client_1	reject	positive
329.002	2.9388	-0.2338	0	-15.4792	16.125	client_2	accept	positive
337.002	2.9388	-0.2238	0	15.5208	-23.875	client_2	reject	positive
342.502	2.9388	0.3252	0	-4.4792	-0.875	client_1	accept	positive
355.002	2.9388	0.3492	0	15.5208	1.125	client_2	accept	negative
362.252	2.9388	-0.3008	0	-14.4792	16.125	client_1	accept	positive
