onset	duration	normalized_rt	gains	losses	missing_trials	outcome
4.502	1.3456	-0.3166	14.0	-3.0	0	accept
12.752	1.3456	-0.5306	10.0	-5.0	0	accept
16.502	1.3456	-0.0076	-2.0	-5.0	0	accept
22.752	1.3456	-0.3416	-6.0	3.0	0	accept
27.752	1.3456	-0.1636	-10.0	5.0	0	accept
32.002	1.3456	-0.2346	-14.0	5.0	0	accept
36.252	1.3456	-0.3066	14.0	-5.0	0	accept
43.002	1.3456	-0.3356	-14.0	3.0	0	accept
48.002	1.3456	-0.2676	10.0	-3.0	0	accept
53.252	1.3456	-0.0566	-6.0	7.0	0	accept
60.002	1.3456	-0.1986	14.0	-1.0	0	reject
63.752	1.3456	0.1114	2.0	-5.0	0	reject
71.502	1.3456	-0.0936	-14.0	7.0	0	accept
75.502	1.3456	-0.0866	14.0	3.0	0	accept
80.252	1.3456	-0.4346	-2.0	7.0	0	accept
87.252	1.3456	0.2814	-6.0	-1.0	0	accept
91.252	1.3456	0.2384	-2.0	-7.0	0	reject
97.752	1.3456	-0.0536	-6.0	5.0	0	accept
102.502	1.3456	0.0024	6.0	5.0	0	accept
108.002	1.3456	0.5174	6.0	-1.0	0	accept
113.502	1.3456	-0.1846	10.0	7.0	0	accept
117.752	1.3456	-0.0606	2.0	-7.0	0	reject
122.002	1.3456	0.6044	-10.0	-1.0	0	accept
126.002	1.3456	-0.2866	-6.0	-5.0	0	reject
129.502	1.3456	-0.2356	-10.0	-5.0	0	reject
133.002	1.3456	-0.3696	-10.0	-7.0	0	reject
137.252	1.3456	0.1364	10.0	-1.0	0	reject
140.752	1.3456	0.2494	10.0	5.0	0	accept
145.502	1.3456	0.5994	14.0	1.0	0	accept
152.252	1.3456	-0.3116	-2.0	-3.0	0	reject
157.252	1.3456	-0.5396	-14.0	-7.0	0	reject
163.002	1.3456	0.1624	10.0	3.0	0	accept
167.002	1.3456	-0.6486	2.0	3.0	0	accept
171.002	1.3456	0.2644	2.0	-3.0	0	reject
176.002	1.3456	-0.2666	2.0	5.0	0	accept
181.502	1.3456	0.3004	6.0	1.0	0	accept
189.502	1.3456	-0.0696	6.0	-7.0	0	reject
193.752	1.3456	0.2444	-10.0	3.0	0	accept
199.502	1.3456	0.2074	2.0	1.0	0	reject
206.502	1.3456	-0.2426	-10.0	1.0	0	reject
213.502	1.3456	-0.1856	-6.0	1.0	0	reject
221.002	1.3456	-0.3916	6.0	-5.0	0	reject
225.752	1.3456	-0.4506	-6.0	-7.0	0	reject
231.002	1.3456	-0.3906	14.0	-7.0	0	reject
240.752	1.3456	0.0804	14.0	7.0	0	accept
246.002	1.3456	-0.4346	14.0	5.0	0	accept
254.002	1.3456	0.4194	-14.0	1.0	0	accept
258.252	1.3456	0.9944	-10.0	-3.0	0	reject
263.752	1.3456	0.1374	-10.0	7.0	0	accept
274.002	1.3456	0.4954	6.0	3.0	0	accept
278.252	1.3456	-0.3376	2.0	7.0	0	accept
284.252	1.3456	-0.0486	10.0	-7.0	0	reject
291.002	1.3456	0.9384	-2.0	1.0	0	reject
301.502	1.3456	-0.1446	6.0	-3.0	0	reject
307.252	1.3456	0.4414	-2.0	3.0	0	accept
310.752	1.3456	0.4114	-6.0	-3.0	0	reject
315.252	1.3456	0.0154	-14.0	-5.0	0	reject
319.752	1.3456	0.2584	-14.0	-1.0	0	reject
325.252	1.3456	0.4314	10.0	1.0	0	accept
331.002	1.3456	-0.1396	2.0	-1.0	0	accept
335.752	1.3456	0.5944	-14.0	-3.0	0	reject
340.502	1.3456	0.3374	-2.0	5.0	0	accept
349.002	1.3456	-0.2856	6.0	7.0	0	accept
354.252	1.3456	-0.0216	-2.0	-1.0	0	accept
