onset	duration	normalized_rt	gains	losses	missing_trials	outcome
2.502	1.214	1.286	-2.0	-1.0	1	n/a
10.752	1.214	0.476	-10.0	-5.0	0	reject
19.752	1.214	0.084	-14.0	-7.0	0	reject
24.002	1.214	0.186	10.0	-7.0	0	accept
27.752	1.214	-0.22	2.0	1.0	0	accept
31.502	1.214	0.239	-10.0	-3.0	0	accept
37.502	1.214	0.026	6.0	-5.0	0	accept
45.502	1.214	-0.342	6.0	7.0	0	accept
49.502	1.214	0.306	-6.0	1.0	0	accept
54.002	1.214	-0.523	14.0	3.0	0	accept
60.502	1.214	-0.349	6.0	-3.0	0	accept
68.252	1.214	-0.368	-2.0	1.0	0	accept
75.502	1.214	-0.4	14.0	1.0	0	accept
81.502	1.214	-0.098	-6.0	-7.0	0	accept
85.502	1.214	-0.342	-2.0	-7.0	0	accept
89.752	1.214	-0.137	6.0	-7.0	0	accept
93.252	1.214	-0.002	-14.0	-3.0	0	accept
103.002	1.214	-0.325	10.0	-3.0	0	accept
108.752	1.214	-0.309	-2.0	-5.0	0	accept
113.752	1.214	-0.499	6.0	5.0	0	accept
121.002	1.214	-0.344	2.0	-7.0	0	accept
124.502	1.214	-0.224	-10.0	-7.0	0	accept
132.252	1.214	-0.472	14.0	7.0	0	accept
138.502	1.214	-0.489	10.0	3.0	0	accept
145.252	1.214	0.503	14.0	-5.0	0	accept
151.502	1.214	-0.266	2.0	-1.0	0	accept
155.502	1.214	0.203	-14.0	-1.0	0	reject
159.002	1.214	0.412	10.0	-1.0	0	accept
163.252	1.214	-0.234	-14.0	5.0	0	accept
169.002	1.214	0.209	-6.0	5.0	0	accept
178.252	1.214	-0.183	10.0	-5.0	0	accept
183.502	1.214	0.496	-6.0	-5.0	0	reject
187.502	1.214	0.219	2.0	-5.0	0	accept
191.502	1.214	0.027	-10.0	3.0	0	accept
196.752	1.214	-0.217	-14.0	7.0	0	accept
201.752	1.214	0.026	-2.0	5.0	0	accept
206.752	1.214	0.2	2.0	-3.0	0	accept
214.752	1.214	0.732	-10.0	1.0	0	reject
220.752	1.214	0.327	-6.0	-1.0	0	reject
224.502	1.214	0.188	6.0	-1.0	0	accept
230.002	1.214	0.338	-10.0	7.0	0	accept
234.502	1.214	0.46	-6.0	3.0	0	accept
238.002	1.214	0.425	14.0	-1.0	0	accept
242.252	1.214	0.023	14.0	-3.0	0	accept
246.002	1.214	0.39	14.0	5.0	0	accept
249.752	1.214	0.149	6.0	1.0	0	accept
255.502	1.214	0.735	-14.0	1.0	0	reject
262.252	1.214	0.482	-2.0	7.0	0	accept
265.752	1.214	-0.436	10.0	7.0	0	accept
269.252	1.214	-0.279	2.0	7.0	0	accept
273.502	1.214	0.019	2.0	3.0	0	accept
280.502	1.214	0.07	-14.0	3.0	0	reject
286.752	1.214	0.506	-14.0	-5.0	0	reject
290.752	1.214	-0.086	-6.0	-3.0	0	accept
298.252	1.214	0.258	-10.0	-1.0	0	reject
304.752	1.214	-0.35	14.0	-7.0	0	accept
308.252	1.214	-0.143	10.0	1.0	0	accept
312.252	1.214	0.357	-10.0	5.0	0	accept
318.752	1.214	-0.179	-6.0	7.0	0	accept
327.002	1.214	-0.132	2.0	5.0	0	accept
337.502	1.214	-0.451	6.0	3.0	0	accept
343.002	1.214	-0.349	-2.0	-3.0	0	accept
350.252	1.214	0.16	-2.0	3.0	0	accept
354.502	1.214	-0.484	10.0	5.0	0	accept
