onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
4.752	3.1978	-0.0928	0	22.3542	-0.8333	client_2	accept	negative
12.502	3.1978	-0.1358	0	-13.6458	-9.8333	client_1	reject	positive
20.002	3.1978	0.0062	0	-8.6458	-3.8333	client_1	reject	positive
31.502	3.1978	-0.3778	0	-13.6458	19.1667	client_1	accept	positive
43.502	3.1978	-0.2558	0	-22.6458	9.1667	client_1	reject	positive
51.002	3.1978	0.3722	0	1.3542	-6.8333	client_1	reject	negative
56.752	3.1978	-0.4258	0	5.3542	11.1667	client_2	accept	positive
62.752	3.1978	-0.4128	0	1.3542	10.1667	client_2	accept	positive
69.502	3.1978	0.0292	0	15.3542	-24.8333	client_1	accept	negative
75.252	3.1978	-0.2438	0	24.3542	-1.8333	client_2	accept	negative
81.502	3.1978	-0.3458	0	-17.6458	4.1667	client_2	reject	positive
90.752	3.1978	0.5092	0	16.3542	-25.8333	client_1	accept	negative
103.252	3.1978	-0.0878	0	-14.6458	19.1667	client_2	accept	positive
110.752	3.1978	-0.0388	0	23.3542	1.1667	client_1	accept	positive
116.502	3.1978	-0.2128	0	-14.6458	2.1667	client_1	reject	positive
122.502	3.1978	0.1592	0	8.3542	-12.8333	client_1	accept	positive
128.252	3.1978	0.0062	0	-15.6458	17.1667	client_2	accept	positive
133.752	3.1978	0.4762	0	-6.6458	-4.8333	client_2	accept	negative
141.252	3.1978	-0.3318	0	-4.6458	15.1667	client_2	accept	positive
149.502	3.1978	0.2472	0	20.3542	2.1667	client_1	accept	positive
155.502	3.1978	-0.3318	0	20.3542	0.1667	client_2	accept	negative
162.252	3.1978	0.2172	0	-0.6458	-22.8333	client_1	reject	positive
171.252	3.1978	-0.4048	0	-21.6458	8.1667	client_1	reject	positive
179.502	3.1978	-0.0068	0	17.3542	4.1667	client_2	accept	positive
189.752	3.1978	-0.0418	0	-10.6458	18.1667	client_2	accept	positive
195.252	3.1978	-0.1178	0	2.3542	-25.8333	client_1	reject	positive
205.502	3.1978	-0.1958	0	6.3542	11.1667	client_2	accept	positive
211.752	3.1978	-0.2908	0	-2.6458	-20.8333	client_1	reject	positive
221.002	3.1978	0.7422	0	0.3542	13.1667	client_1	accept	positive
228.002	3.1978	0.0052	0	-3.6458	-2.8333	client_2	accept	negative
235.502	3.1978	-0.1408	0	17.3542	1.1667	client_2	reject	positive
245.252	3.1978	0.1092	0	-8.6458	14.1667	client_2	reject	negative
252.752	3.1978	-0.3668	0	-1.6458	-21.8333	client_1	reject	positive
259.752	3.1978	-0.4738	0	-0.6458	-22.8333	client_2	reject	positive
268.002	3.1978	-0.1368	0	-5.6458	-17.8333	client_2	reject	positive
274.002	3.1978	-0.0828	0	24.3542	-1.8333	client_1	accept	positive
286.502	3.1978	-0.0358	0	-15.6458	14.1667	client_2	accept	negative
292.752	3.1978	-0.1998	0	9.3542	10.1667	client_2	accept	positive
299.752	3.1978	0.5702	0	-10.6458	15.1667	client_2	accept	positive
311.002	3.1978	0.9382	0	-7.6458	1.1667	client_1	reject	negative
317.252	3.1978	0.1942	0	-2.6458	12.1667	client_2	accept	positive
325.502	3.1978	0.3972	0	0.3542	-5.8333	client_1	reject	negative
332.252	3.1978	0.3432	0	11.3542	4.1667	client_1	accept	positive
340.752	3.1978	0.3722	0	-13.6458	6.1667	client_1	accept	positive
347.002	3.1978	0.3672	0	13.3542	3.1667	client_2	accept	negative
353.252	3.1978	-0.3588	0	5.3542	-10.8333	client_2	accept	negative
359.252	3.1978	0.1432	0	-10.6458	-12.8333	client_1	reject	positive
368.002	3.1978	-0.0588	0	-17.6458	10.1667	client_1	reject	negative
