onset	duration	normalized_rt	gains	losses	missing_trials	outcome
4.752	1.1585	0.9385	-2.0	7.0	0	accept
8.753	1.1585	0.4515	2.0	1.0	0	accept
12.752	1.1585	0.2175	-6.0	5.0	0	accept
16.502	1.1585	0.1305	10.0	1.0	0	accept
26.002	1.1585	0.3675	14.0	-3.0	0	accept
34.252	1.1585	0.3105	10.0	-5.0	0	accept
38.502	1.1585	-0.1485	6.0	3.0	0	accept
46.252	1.1585	0.3745	-14.0	-5.0	0	reject
50.502	1.1585	1.3415	-10.0	3.0	1	n/a
55.502	1.1585	0.1515	-10.0	-7.0	0	reject
60.252	1.1585	-0.2385	-2.0	3.0	0	accept
64.252	1.1585	-0.3425	10.0	7.0	0	accept
68.002	1.1585	-0.4015	6.0	5.0	0	accept
73.002	1.1585	-0.3935	6.0	7.0	0	accept
76.752	1.1585	-0.1225	-10.0	5.0	0	accept
80.752	1.1585	0.7585	-6.0	-3.0	0	accept
85.502	1.1585	0.4025	-10.0	-5.0	0	reject
91.002	1.1585	0.2135	2.0	-7.0	0	reject
94.752	1.1585	0.3145	-6.0	-1.0	0	reject
98.252	1.1585	0.2115	-2.0	1.0	0	accept
103.752	1.1585	-0.3565	14.0	3.0	0	accept
107.752	1.1585	-0.4215	10.0	5.0	0	accept
111.752	1.1585	-0.2805	6.0	-5.0	0	accept
120.502	1.1585	0.1685	2.0	-1.0	0	accept
125.252	1.1585	-0.0695	-14.0	7.0	0	accept
134.752	1.1585	0.1655	-2.0	-5.0	0	reject
138.502	1.1585	-0.0645	-14.0	3.0	0	reject
147.502	1.1585	-0.0675	-2.0	-7.0	0	reject
155.252	1.1585	-0.0905	-14.0	-3.0	0	reject
161.752	1.1585	-0.3745	-2.0	5.0	0	accept
171.252	1.1585	-0.2665	10.0	-7.0	0	accept
179.752	1.1585	-0.2545	-6.0	3.0	0	accept
184.002	1.1585	-0.2815	-2.0	-1.0	0	accept
187.502	1.1585	-0.3085	14.0	-1.0	0	accept
196.002	1.1585	0.1055	2.0	-3.0	0	accept
199.752	1.1585	0.2305	2.0	-5.0	0	accept
206.252	1.1585	-0.4105	14.0	5.0	0	accept
210.252	1.1585	-0.0325	6.0	-1.0	0	accept
220.752	1.1585	0.2225	-6.0	-5.0	0	reject
226.502	1.1585	0.1255	-14.0	1.0	0	reject
231.252	1.1585	-0.1585	-10.0	7.0	0	accept
234.752	1.1585	-0.4035	2.0	3.0	0	accept
238.252	1.1585	-0.3345	6.0	1.0	0	accept
244.502	1.1585	0.3995	14.0	-5.0	0	accept
254.502	1.1585	0.4025	-6.0	1.0	0	accept
259.252	1.1585	-0.0755	-10.0	-3.0	0	reject
262.752	1.1585	-0.2935	10.0	-3.0	0	accept
270.002	1.1585	-0.5285	2.0	5.0	0	accept
274.252	1.1585	0.0125	-10.0	1.0	0	accept
279.502	1.1585	-0.0665	-14.0	5.0	0	accept
283.502	1.1585	-0.4775	2.0	7.0	0	accept
287.252	1.1585	0.1005	6.0	-3.0	0	accept
293.002	1.1585	0.1235	14.0	-7.0	0	accept
297.752	1.1585	0.4555	6.0	-7.0	0	accept
301.252	1.1585	-0.0975	-14.0	-1.0	0	reject
305.752	1.1585	0.6675	-2.0	-3.0	0	accept
310.002	1.1585	0.3995	-6.0	-7.0	0	reject
317.252	1.1585	0.0245	14.0	1.0	0	accept
325.502	1.1585	0.2115	-10.0	-1.0	0	reject
329.752	1.1585	-0.0995	-14.0	-7.0	0	reject
338.002	1.1585	-0.1445	-6.0	7.0	0	accept
342.002	1.1585	-0.1265	10.0	-1.0	0	accept
345.752	1.1585	-0.3655	14.0	7.0	0	accept
349.502	1.1585	-0.5605	10.0	3.0	0	accept
