onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
2.252	2.3344	client_1	10.0625	-3.2812	accept	0	-0.4194
6.752	2.3344	client_1	14.0625	-5.2812	accept	0	-0.7434
11.502	2.3344	client_2	2.0625	0.7188	accept	0	0.3006
17.002	2.3344	client_1	-1.9375	4.7188	accept	0	-0.5304
24.502	2.3344	client_2	-5.9375	-7.2812	reject	0	-0.4004
29.752	2.3344	client_2	-1.9375	-3.2812	reject	0	-0.4514
34.752	2.3344	client_1	-9.9375	-1.2812	reject	0	1.0626
40.752	2.3344	client_2	6.0625	-1.2812	n/a	1	1.1656
49.002	2.3344	client_1	2.0625	0.7188	accept	0	-0.1644
54.502	2.3344	client_1	6.0625	0.7188	accept	0	-0.2024
61.752	2.3344	client_1	-1.9375	-5.2812	accept	0	-0.0774
68.252	2.3344	client_2	-13.9375	6.7188	reject	0	0.8506
75.502	2.3344	client_1	-1.9375	0.7188	accept	0	0.3416
80.502	2.3344	client_2	6.0625	6.7188	accept	0	-0.1944
86.752	2.3344	client_1	14.0625	0.7188	accept	0	-0.1504
98.252	2.3344	client_1	-5.9375	-5.2812	reject	0	0.9906
104.002	2.3344	client_2	2.0625	2.7188	n/a	1	1.1656
111.502	2.3344	client_1	-9.9375	4.7188	accept	0	-0.3824
120.752	2.3344	client_1	10.0625	6.7188	accept	0	-0.2374
128.502	2.3344	client_1	-5.9375	-7.2812	reject	0	-0.4644
134.502	2.3344	client_1	-13.9375	-7.2812	reject	0	-0.3454
142.502	2.3344	client_1	2.0625	-5.2812	accept	0	0.6736
149.752	2.3344	client_1	-13.9375	0.7188	reject	0	-0.5124
154.752	2.3344	client_1	-5.9375	0.7188	accept	0	0.0096
161.252	2.3344	client_2	14.0625	-1.2812	accept	0	1.1536
166.002	2.3344	client_2	-5.9375	6.7188	accept	0	-0.4494
175.752	2.3344	client_1	-1.9375	6.7188	accept	0	-0.8684
182.002	2.3344	client_1	2.0625	4.7188	accept	0	0.4616
187.502	2.3344	client_2	6.0625	0.7188	accept	0	0.2276
192.252	2.3344	client_2	-5.9375	-3.2812	n/a	1	1.1656
201.502	2.3344	client_1	-1.9375	-3.2812	accept	0	0.3016
206.502	2.3344	client_1	2.0625	2.7188	accept	0	-0.3924
211.002	2.3344	client_2	10.0625	6.7188	accept	0	-0.5754
218.002	2.3344	client_2	-9.9375	6.7188	accept	0	0.3766
225.002	2.3344	client_1	-5.9375	6.7188	accept	0	-0.3964
231.752	2.3344	client_2	-9.9375	-1.2812	reject	0	-0.0974
241.252	2.3344	client_2	14.0625	4.7188	accept	0	0.5846
249.752	2.3344	client_2	14.0625	2.7188	accept	0	-0.6474
257.002	2.3344	client_2	-13.9375	-1.2812	reject	0	-0.5564
263.752	2.3344	client_2	2.0625	-7.2812	reject	0	0.1926
269.002	2.3344	client_2	14.0625	-3.2812	reject	0	0.8006
278.252	2.3344	client_1	10.0625	0.7188	accept	0	-0.5684
283.002	2.3344	client_1	6.0625	4.7188	accept	0	-0.6534
288.502	2.3344	client_2	6.0625	2.7188	accept	0	0.1016
295.752	2.3344	client_1	2.0625	-3.2812	accept	0	-0.1304
304.002	2.3344	client_1	6.0625	-5.2812	accept	0	0.8916
312.752	2.3344	client_2	10.0625	-7.2812	reject	0	0.6956
318.002	2.3344	client_2	-9.9375	-7.2812	reject	0	-0.2144
322.502	2.3344	client_2	10.0625	-3.2812	reject	0	0.3516
327.252	2.3344	client_1	2.0625	-1.2812	accept	0	0.6496
334.002	2.3344	client_1	-13.9375	6.7188	accept	0	-0.7194
343.252	2.3344	client_1	2.0625	6.7188	accept	0	-0.5814
348.252	2.3344	client_2	2.0625	-3.2812	accept	0	0.6876
354.752	2.3344	client_2	-13.9375	4.7188	reject	0	-0.0814
359.752	2.3344	client_2	-13.9375	-3.2812	reject	0	-0.4984
366.252	2.3344	client_2	-1.9375	4.7188	accept	0	0.9776
372.002	2.3344	client_2	6.0625	4.7188	accept	0	-0.1584
379.752	2.3344	client_1	-1.9375	-7.2812	accept	0	-0.1034
384.502	2.3344	client_1	-5.9375	2.7188	accept	0	0.0046
390.002	2.3344	client_2	14.0625	0.7188	accept	0	-0.4174
395.252	2.3344	client_2	10.0625	-5.2812	accept	0	0.6006
400.002	2.3344	client_2	-13.9375	2.7188	reject	0	-0.4394
404.752	2.3344	client_2	-5.9375	-1.2812	reject	0	-0.0164
414.002	2.3344	client_1	-9.9375	-7.2812	reject	0	0.5526
