onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.502	2.0098	client_1	9.8125	4.7188	accept	0	-0.1288
7.752	2.0098	client_2	9.8125	-3.2812	accept	0	0.0062
12.502	2.0098	client_2	-6.1875	-3.2812	reject	0	-0.0678
17.752	2.0098	client_2	13.8125	-7.2812	accept	0	0.2132
23.752	2.0098	client_1	-10.1875	-3.2812	reject	0	-0.1208
30.502	2.0098	client_2	9.8125	0.7188	accept	0	-0.3358
35.252	2.0098	client_1	5.8125	-5.2812	accept	0	0.1232
44.752	2.0098	client_1	-2.1875	2.7188	accept	0	-0.3068
49.752	2.0098	client_2	13.8125	4.7188	accept	0	-0.4198
55.002	2.0098	client_2	13.8125	6.7188	accept	0	-0.4468
61.252	2.0098	client_1	5.8125	4.7188	accept	0	-0.4248
66.002	2.0098	client_1	-6.1875	6.7188	accept	0	-0.2558
77.502	2.0098	client_1	13.8125	-3.2812	accept	0	0.0362
84.002	2.0098	client_1	1.8125	6.7188	accept	0	-0.3308
90.252	2.0098	client_1	-14.1875	2.7188	reject	0	0.3222
95.002	2.0098	client_1	1.8125	-3.2812	accept	0	0.3092
99.752	2.0098	client_2	-6.1875	-5.2812	reject	0	0.0072
105.502	2.0098	client_1	9.8125	2.7188	accept	0	-0.3848
110.252	2.0098	client_2	-10.1875	-1.2812	reject	0	-0.2978
116.252	2.0098	client_2	5.8125	-1.2812	accept	0	0.0132
121.002	2.0098	client_1	9.8125	-7.2812	accept	0	0.8912
127.502	2.0098	client_1	5.8125	-1.2812	accept	0	0.1392
132.502	2.0098	client_2	-2.1875	-3.2812	reject	0	0.1512
138.252	2.0098	client_2	-2.1875	-1.2812	reject	0	0.1242
145.752	2.0098	client_1	1.8125	0.7188	accept	0	-0.2768
151.752	2.0098	client_2	5.8125	-3.2812	accept	0	0.1792
159.252	2.0098	client_2	13.8125	2.7188	accept	0	-0.4308
164.502	2.0098	client_1	5.8125	2.7188	accept	0	-0.4318
172.502	2.0098	client_1	-2.1875	-5.2812	accept	0	0.1512
182.002	2.0098	client_2	13.8125	0.7188	accept	0	-0.3848
190.002	2.0098	client_1	-10.1875	-1.2812	reject	0	0.0742
195.252	2.0098	client_1	-2.1875	-1.2812	accept	0	0.0222
203.752	2.0098	client_1	-10.1875	6.7188	accept	0	-0.2678
210.002	2.0098	client_1	13.8125	0.7188	accept	0	-0.3098
216.002	2.0098	client_2	9.8125	-5.2812	accept	0	0.0332
224.002	2.0098	client_2	-2.1875	2.7188	accept	0	0.4252
229.752	2.0098	client_1	-2.1875	-3.2812	accept	0	0.1572
234.252	2.0098	client_2	-2.1875	-7.2812	accept	0	0.3932
239.752	2.0098	client_1	-6.1875	-5.2812	reject	0	0.0112
248.002	2.0098	client_2	-6.1875	6.7188	accept	0	-0.2598
254.752	2.0098	client_2	9.8125	-1.2812	accept	0	-0.0178
259.502	2.0098	client_2	5.8125	0.7188	accept	0	-0.2358
265.252	2.0098	client_1	13.8125	2.7188	accept	0	-0.4378
269.752	2.0098	client_1	-2.1875	6.7188	accept	0	-0.3758
274.752	2.0098	client_2	-14.1875	-5.2812	reject	0	0.1062
280.502	2.0098	client_1	1.8125	-7.2812	accept	0	0.0792
286.752	2.0098	client_2	-2.1875	6.7188	accept	0	-0.3668
296.002	2.0098	client_1	-14.1875	-5.2812	accept	0	0.1712
300.752	2.0098	client_1	-6.1875	0.7188	accept	0	0.0692
305.252	2.0098	client_1	-6.1875	4.7188	accept	0	0.3752
313.752	2.0098	client_1	-14.1875	-1.2812	reject	0	-0.0498
321.002	2.0098	client_1	-14.1875	-7.2812	reject	0	0.4562
330.252	2.0098	client_2	-6.1875	2.7188	accept	0	0.1512
335.002	2.0098	client_2	-14.1875	6.7188	accept	0	0.4512
343.002	2.0098	client_2	1.8125	2.7188	accept	0	-0.0758
349.502	2.0098	client_2	5.8125	4.7188	accept	0	-0.1678
357.752	2.0098	client_2	9.8125	2.7188	accept	0	-0.4078
367.502	2.0098	client_2	-14.1875	4.7188	reject	0	0.5192
374.252	2.0098	client_1	-14.1875	4.7188	accept	0	0.2742
382.252	2.0098	client_2	-6.1875	4.7188	accept	0	0.2172
390.502	2.0098	client_2	1.8125	-5.2812	reject	0	0.4822
400.502	2.0098	client_2	-14.1875	-7.2812	reject	0	0.6802
409.002	2.0098	client_2	-6.1875	-1.2812	reject	0	0.3542
414.002	2.0098	client_1	5.8125	0.7188	accept	0	-0.1498
