onset	duration	normalized_rt	gains	losses	missing_trials	outcome
1.752	1.0567	0.2673	-2.0	5.0	0	accept
6.252	1.0567	-0.3767	-2.0	7.0	0	accept
13.002	1.0567	-0.1387	10.0	-1.0	0	accept
21.252	1.0567	-0.2637	2.0	-3.0	0	accept
25.002	1.0567	-0.3307	10.0	1.0	0	accept
30.002	1.0567	1.4433	-10.0	-5.0	1	n/a
34.752	1.0567	-0.0527	-14.0	-3.0	0	reject
42.002	1.0567	-0.3217	2.0	3.0	0	accept
45.502	1.0567	-0.0767	10.0	-7.0	0	accept
49.002	1.0567	-0.2907	14.0	-7.0	0	accept
57.252	1.0567	1.3363	-14.0	3.0	0	accept
62.252	1.0567	-0.3887	6.0	7.0	0	accept
70.752	1.0567	0.2943	-10.0	-3.0	0	reject
74.252	1.0567	-0.1977	-2.0	-1.0	0	accept
81.252	1.0567	-0.4227	10.0	7.0	0	accept
89.752	1.0567	-0.3107	6.0	-5.0	0	accept
94.752	1.0567	0.3703	-10.0	-1.0	0	reject
101.002	1.0567	0.3053	-14.0	-7.0	0	reject
105.002	1.0567	-0.2747	14.0	1.0	0	accept
114.002	1.0567	-0.4637	6.0	3.0	0	accept
121.002	1.0567	0.6083	-14.0	5.0	0	accept
125.002	1.0567	-0.3307	10.0	5.0	0	accept
131.252	1.0567	0.2593	2.0	-1.0	0	accept
135.002	1.0567	0.1183	6.0	1.0	0	accept
141.752	1.0567	-0.2157	6.0	-1.0	0	accept
149.002	1.0567	0.8533	-2.0	-7.0	0	accept
152.502	1.0567	0.8143	-2.0	-5.0	0	accept
156.252	1.0567	0.3253	-14.0	-5.0	0	reject
160.002	1.0567	0.9273	-10.0	-7.0	0	accept
169.252	1.0567	0.0253	-2.0	3.0	0	accept
172.752	1.0567	0.3963	10.0	-3.0	0	accept
179.502	1.0567	1.4433	-10.0	5.0	1	n/a
188.502	1.0567	0.2873	-6.0	-3.0	0	accept
192.002	1.0567	0.5823	2.0	-7.0	0	accept
196.752	1.0567	-0.4867	14.0	-5.0	0	accept
202.002	1.0567	-0.2677	-6.0	7.0	0	accept
206.002	1.0567	-0.1897	6.0	5.0	0	accept
209.502	1.0567	-0.4647	14.0	7.0	0	accept
213.002	1.0567	0.1023	-10.0	7.0	0	accept
219.502	1.0567	-0.1137	-10.0	1.0	0	accept
228.252	1.0567	-0.2607	2.0	7.0	0	accept
232.252	1.0567	0.1223	6.0	-7.0	0	accept
236.752	1.0567	0.4623	-6.0	-5.0	0	accept
241.502	1.0567	-0.2597	14.0	-1.0	0	accept
247.002	1.0567	-0.3397	14.0	3.0	0	accept
250.752	1.0567	-0.4267	14.0	5.0	0	accept
260.752	1.0567	0.1853	-14.0	7.0	0	accept
268.002	1.0567	0.2813	2.0	-5.0	0	accept
272.002	1.0567	0.4173	-14.0	-1.0	0	reject
278.752	1.0567	-0.1077	-2.0	1.0	0	accept
282.502	1.0567	-0.1417	-2.0	-3.0	0	accept
287.002	1.0567	-0.3577	-6.0	3.0	0	accept
292.252	1.0567	-0.3637	-10.0	3.0	0	accept
296.252	1.0567	-0.4397	6.0	-3.0	0	accept
302.502	1.0567	-0.3697	10.0	-5.0	0	accept
308.502	1.0567	0.2443	-14.0	1.0	0	reject
312.252	1.0567	0.2573	-6.0	-7.0	0	reject
322.752	1.0567	0.7333	-6.0	-1.0	0	accept
328.752	1.0567	0.0333	2.0	1.0	0	accept
333.002	1.0567	-0.4277	10.0	3.0	0	accept
337.002	1.0567	-0.2437	-6.0	5.0	0	accept
341.002	1.0567	-0.3677	-6.0	1.0	0	accept
345.002	1.0567	-0.4927	2.0	5.0	0	accept
350.752	1.0567	-0.0347	14.0	-3.0	0	accept
