onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.252	1.9725	client_1	-5.5625	-3.1562	accept	0	0.6995
6.002	1.9725	client_1	14.4375	0.8438	accept	0	-0.4135
15.502	1.9725	client_1	2.4375	-3.1562	accept	0	-0.0645
20.002	1.9725	client_2	6.4375	4.8438	accept	0	-0.1245
26.502	1.9725	client_2	6.4375	6.8438	accept	0	-0.1705
31.252	1.9725	client_2	14.4375	6.8438	accept	0	-0.2705
36.502	1.9725	client_2	14.4375	4.8438	accept	0	-0.4205
41.002	1.9725	client_2	6.4375	-3.1562	reject	0	0.0425
46.502	1.9725	client_2	2.4375	-1.1562	reject	0	0.1595
53.502	1.9725	client_2	-9.5625	-1.1562	reject	0	-0.1315
58.252	1.9725	client_1	-1.5625	0.8438	reject	0	-0.0985
63.502	1.9725	client_2	-13.5625	6.8438	reject	0	-0.0085
68.502	1.9725	client_2	-13.5625	-5.1562	reject	0	-0.2545
73.502	1.9725	client_1	14.4375	-5.1562	accept	0	-0.3725
79.252	1.9725	client_1	-9.5625	6.8438	accept	0	-0.0325
84.252	1.9725	client_1	14.4375	6.8438	accept	0	-0.0985
92.502	1.9725	client_1	-13.5625	-5.1562	reject	0	-0.0545
101.002	1.9725	client_1	2.4375	6.8438	accept	0	-0.3465
107.002	1.9725	client_1	-5.5625	4.8438	accept	0	-0.4555
112.502	1.9725	client_2	2.4375	-7.1562	reject	0	0.1555
118.002	1.9725	client_2	-13.5625	-7.1562	reject	0	0.2375
125.002	1.9725	client_2	-1.5625	-1.1562	reject	0	0.2175
131.752	1.9725	client_1	2.4375	-5.1562	accept	0	0.4795
137.252	1.9725	client_1	-1.5625	4.8438	accept	0	-0.4445
142.002	1.9725	client_2	2.4375	2.8438	accept	0	-0.2325
149.252	1.9725	client_1	14.4375	4.8438	accept	0	-0.4125
155.252	1.9725	client_1	-9.5625	4.8438	accept	0	0.0735
161.502	1.9725	client_1	-9.5625	-5.1562	reject	0	-0.0475
169.752	1.9725	client_1	-5.5625	-1.1562	accept	0	-0.2405
174.502	1.9725	client_2	-9.5625	0.8438	reject	0	0.0685
182.502	1.9725	client_1	14.4375	-3.1562	accept	0	0.2205
189.002	1.9725	client_1	6.4375	6.8438	accept	0	-0.2575
194.002	1.9725	client_2	-5.5625	6.8438	accept	0	0.3795
202.252	1.9725	client_2	10.4375	-3.1562	reject	0	0.4995
206.752	1.9725	client_1	-1.5625	2.8438	accept	0	-0.4865
217.502	1.9725	client_2	14.4375	-1.1562	accept	0	0.4615
228.502	1.9725	client_1	-9.5625	0.8438	accept	0	-0.0075
237.252	1.9725	client_1	-1.5625	-1.1562	accept	0	-0.0925
243.502	1.9725	client_2	-13.5625	4.8438	reject	0	0.0055
254.752	1.9725	client_2	6.4375	-5.1562	reject	0	0.0375
260.502	1.9725	client_1	-1.5625	-3.1562	accept	0	-0.1945
265.502	1.9725	client_2	10.4375	2.8438	accept	0	-0.2975
270.002	1.9725	client_1	-13.5625	6.8438	accept	0	-0.1415
279.002	1.9725	client_1	-5.5625	2.8438	accept	0	0.0065
283.502	1.9725	client_2	10.4375	0.8438	accept	0	0.0945
288.502	1.9725	client_2	2.4375	-3.1562	reject	0	0.2705
293.252	1.9725	client_1	2.4375	-7.1562	accept	0	0.1395
300.002	1.9725	client_2	10.4375	-5.1562	reject	0	0.4335
309.502	1.9725	client_2	6.4375	0.8438	accept	0	-0.1015
315.002	1.9725	client_1	6.4375	-3.1562	accept	0	-0.0915
319.752	1.9725	client_1	-5.5625	6.8438	accept	0	-0.4525
326.752	1.9725	client_2	-9.5625	2.8438	reject	0	0.5725
333.502	1.9725	client_1	-13.5625	-3.1562	reject	0	-0.0475
339.002	1.9725	client_1	-5.5625	-7.1562	reject	0	-0.0985
346.752	1.9725	client_1	14.4375	2.8438	accept	0	-0.3845
354.252	1.9725	client_2	-5.5625	2.8438	reject	0	0.4085
361.002	1.9725	client_2	-1.5625	4.8438	accept	0	0.0815
366.252	1.9725	client_2	-13.5625	-1.1562	reject	0	0.2355
374.752	1.9725	client_1	14.4375	-7.1562	accept	0	0.1845
381.502	1.9725	client_2	-9.5625	-7.1562	reject	0	-0.0675
386.752	1.9725	client_2	-5.5625	-3.1562	reject	0	-0.3045
392.502	1.9725	client_2	6.4375	-1.1562	accept	0	0.5135
401.252	1.9725	client_1	-1.5625	-7.1562	accept	0	0.5405
412.752	1.9725	client_2	-9.5625	-5.1562	reject	0	0.5035
