onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.502	3.184	-0.162	0	7.8125	-29.625	client_1	reject	positive
10.502	3.184	-0.425	0	13.8125	2.375	client_1	accept	positive
17.752	3.184	-0.183	0	-2.1875	-19.625	client_1	reject	positive
25.002	3.184	-0.071	0	3.8125	-7.625	client_2	reject	positive
33.002	3.184	-0.25	0	11.8125	-14.625	client_2	reject	positive
45.252	3.184	0.316	0	22.8125	-1.625	client_2	accept	negative
51.002	3.184	-0.376	0	-23.1875	16.375	client_1	accept	positive
56.502	3.184	-0.355	0	-10.1875	-0.625	client_2	reject	positive
66.002	3.184	0.787	0	24.8125	-1.625	client_2	accept	negative
73.502	3.184	0.119	0	0.8125	-22.625	client_1	reject	positive
79.502	3.184	0.514	0	5.8125	11.375	client_2	accept	positive
86.252	3.184	-0.201	0	12.8125	2.375	client_2	accept	negative
96.502	3.184	0.536	0	17.8125	-25.625	client_1	accept	negative
103.252	3.184	0.309	0	17.8125	3.375	client_1	accept	positive
109.002	3.184	-0.279	0	-10.1875	12.375	client_2	accept	negative
116.752	3.184	-0.101	0	-1.1875	-20.625	client_2	reject	positive
123.252	3.184	-0.202	0	-18.1875	6.375	client_1	reject	positive
129.752	3.184	-0.012	0	1.8125	9.375	client_2	accept	positive
140.252	3.184	0.33	0	0.8125	-5.625	client_1	accept	positive
151.752	3.184	-0.188	0	-1.1875	10.375	client_2	accept	positive
158.252	3.184	-0.478	0	-21.1875	-0.625	client_1	reject	positive
166.752	3.184	0.079	0	6.8125	5.375	client_2	accept	negative
174.752	3.184	-0.253	0	8.8125	9.375	client_2	accept	positive
182.002	3.184	-0.266	0	-5.1875	15.375	client_1	accept	positive
190.002	3.184	0.16	0	-13.1875	15.375	client_2	accept	positive
195.752	3.184	-0.07	0	-14.1875	19.375	client_2	accept	positive
204.002	3.184	0.087	0	-3.1875	-6.625	client_1	accept	negative
210.252	3.184	0.038	0	-7.1875	-14.625	client_1	reject	positive
216.252	3.184	0.533	0	-21.1875	14.375	client_1	accept	positive
221.752	3.184	-0.274	0	-1.1875	-8.625	client_2	reject	positive
229.252	3.184	0.306	0	18.8125	-26.625	client_1	accept	negative
238.002	3.184	-0.326	0	10.8125	9.375	client_1	accept	positive
244.002	3.184	0.136	0	-7.1875	16.375	client_2	reject	negative
250.002	3.184	0.37	0	-9.1875	14.375	client_2	accept	positive
256.002	3.184	-0.147	0	2.8125	-12.625	client_1	reject	positive
262.252	3.184	-0.445	0	-17.1875	-4.625	client_2	reject	positive
271.002	3.184	-0.102	0	-1.1875	-3.625	client_1	accept	positive
277.752	3.184	-0.111	0	-12.1875	1.375	client_1	reject	positive
284.502	3.184	-0.113	0	-15.1875	16.375	client_2	accept	positive
293.752	3.184	0.125	0	-6.1875	15.375	client_2	accept	positive
301.502	3.184	-0.376	0	-12.1875	18.375	client_2	accept	positive
309.252	3.184	-0.084	0	-6.1875	-15.625	client_1	reject	positive
318.752	3.184	0.238	0	-7.1875	10.375	client_2	reject	positive
325.752	3.184	-0.135	0	20.8125	2.375	client_1	accept	positive
332.253	3.184	0.663	0	4.8125	-8.625	client_1	accept	positive
338.002	3.184	-0.084	0	-8.1875	11.375	client_1	accept	positive
343.752	3.184	0.237	0	22.8125	1.375	client_2	accept	positive
356.252	3.184	0.185	0	15.8125	-18.625	client_1	accept	positive
