onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.252	3.3579	-0.1829	0	-22.7292	10.2292	client_1	reject	positive
11.002	3.3579	-0.0459	0	5.2708	11.2292	client_2	accept	positive
20.002	3.3579	0.0821	0	-6.7292	16.2292	client_2	accept	positive
30.252	3.3579	0.5421	0	-7.7292	11.2292	client_2	reject	positive
37.502	3.3579	0.1301	0	8.2708	-12.7708	client_1	accept	positive
47.752	3.3579	0.2161	0	5.2708	-27.7708	client_1	reject	positive
55.002	3.3579	0.5141	0	3.2708	12.2292	client_2	reject	negative
61.502	3.3579	0.1481	0	-0.7292	-21.7708	client_1	reject	positive
70.002	3.3579	0.6421	0	21.2708	2.2292	client_2	reject	negative
76.502	3.3579	0.4791	0	-14.7292	8.2292	client_1	accept	positive
83.752	3.3579	0.6701	0	-4.7292	12.2292	client_2	accept	positive
90.252	3.3579	-0.3509	0	5.2708	-27.7708	client_2	reject	positive
96.002	3.3579	-0.2859	0	4.2708	6.2292	client_2	accept	negative
102.252	3.3579	-0.4989	0	5.2708	6.2292	client_2	accept	negative
113.002	3.3579	-0.1319	0	2.2708	12.2292	client_1	accept	positive
121.752	3.3579	-0.4279	0	-0.7292	-9.7708	client_2	reject	positive
130.252	3.3579	0.3621	0	-8.7292	2.2292	client_1	accept	positive
139.252	3.3579	0.5411	0	19.2708	3.2292	client_2	accept	positive
145.502	3.3579	0.0451	0	11.2708	-14.7708	client_1	accept	positive
153.752	3.3579	0.4971	0	17.2708	3.2292	client_1	accept	positive
164.252	3.3579	0.0951	0	-7.7292	-3.7708	client_1	reject	positive
173.752	3.3579	0.7161	0	7.2708	-16.7708	client_1	reject	positive
179.752	3.3579	-0.3689	0	-3.7292	15.2292	client_1	accept	positive
187.502	3.3579	0.4951	0	-4.7292	12.2292	client_1	accept	positive
194.252	3.3579	-0.5229	0	-20.7292	-1.7708	client_2	reject	positive
206.252	3.3579	-0.3649	0	-21.7292	-0.7708	client_1	reject	positive
215.502	3.3579	0.4251	0	3.2708	7.2292	client_2	reject	positive
221.752	3.3579	0.2991	0	-17.7292	5.2292	client_1	reject	positive
228.502	3.3579	-0.3189	0	-11.7292	-10.7708	client_1	reject	positive
234.002	3.3579	-0.5759	0	-10.7292	15.2292	client_2	accept	positive
240.752	3.3579	0.7251	0	7.2708	7.2292	client_2	accept	positive
247.002	3.3579	-0.2999	0	6.2708	-28.7708	client_1	reject	positive
254.252	3.3579	-0.3239	0	0.2708	-10.7708	client_2	reject	positive
263.002	3.3579	-0.4779	0	-1.7292	14.2292	client_2	accept	positive
272.752	3.3579	0.1821	0	-2.7292	-2.7708	client_2	reject	positive
280.752	3.3579	1.1421	1	24.2708	-1.7708	client_2	n/a	negative
287.502	3.3579	-0.3639	0	6.2708	-15.7708	client_1	accept	negative
295.002	3.3579	0.4031	0	7.2708	-11.7708	client_2	reject	positive
301.752	3.3579	-0.6889	0	-9.7292	17.2292	client_2	accept	positive
314.252	3.3579	-0.6469	0	-10.7292	-0.7708	client_1	reject	positive
321.502	3.3579	-0.3959	0	1.2708	-23.7708	client_1	reject	positive
332.502	3.3579	-0.1369	0	9.2708	-13.7708	client_1	accept	positive
343.252	3.3579	-0.2899	0	-5.7292	10.2292	client_1	accept	positive
348.752	3.3579	-0.6419	0	-14.7292	16.2292	client_2	accept	positive
356.502	3.3579	-0.4579	0	10.2708	9.2292	client_2	accept	positive
362.502	3.3579	0.0651	0	-18.7292	11.2292	client_1	accept	positive
370.002	3.3579	0.1131	0	14.2708	2.2292	client_2	reject	positive
375.752	3.3579	0.4101	0	24.2708	-1.7708	client_1	accept	positive
