onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.252	3.2902	0.4188	0	-12.0417	-11.2708	client_1	reject	positive
8.502	3.2902	-0.0502	0	2.9583	-8.2708	client_1	accept	positive
21.002	3.2902	-0.0032	0	-18.0417	-5.2708	client_1	reject	positive
28.502	3.2902	0.2098	0	-6.0417	-5.2708	client_1	reject	positive
36.002	3.2902	0.3698	0	-20.0417	-3.2708	client_2	reject	positive
42.502	3.2902	-0.3962	0	2.9583	6.7292	client_2	accept	negative
55.002	3.2902	-0.4112	0	8.9583	6.7292	client_2	accept	positive
65.752	3.2902	-0.4192	0	3.9583	8.7292	client_2	accept	positive
71.252	3.2902	-0.0692	0	5.9583	10.7292	client_2	accept	positive
82.502	3.2902	-0.4942	0	-19.0417	17.7292	client_2	accept	positive
91.002	3.2902	0.1768	0	4.9583	11.7292	client_2	accept	positive
98.002	3.2902	0.2358	0	8.9583	-13.2708	client_1	reject	negative
104.502	3.2902	0.5718	0	-7.0417	-16.2708	client_1	accept	negative
111.502	3.2902	-0.2002	0	0.9583	12.7292	client_2	accept	positive
117.752	3.2902	-0.0692	0	13.9583	4.7292	client_1	accept	positive
125.502	3.2902	0.1168	0	3.9583	6.7292	client_2	accept	negative
133.002	3.2902	-0.0262	0	15.9583	1.7292	client_1	accept	positive
138.752	3.2902	-0.0532	0	14.9583	-24.2708	client_1	reject	positive
146.002	3.2902	-0.0292	0	22.9583	-1.2708	client_2	accept	negative
153.502	3.2902	-0.2772	0	-14.0417	18.7292	client_1	accept	positive
160.252	3.2902	0.3998	0	10.9583	-15.2708	client_1	accept	positive
166.752	3.2902	-0.0332	0	2.9583	9.7292	client_2	accept	positive
176.252	3.2902	-0.4882	0	-10.0417	14.7292	client_2	accept	positive
185.752	3.2902	-0.3702	0	-19.0417	20.7292	client_2	accept	positive
194.002	3.2902	-0.0232	0	-17.0417	9.7292	client_2	accept	negative
200.502	3.2902	0.3118	0	-27.0417	12.7292	client_2	reject	positive
207.752	3.2902	0.2178	0	3.9583	-9.2708	client_1	accept	positive
215.502	3.2902	-0.0482	0	-6.0417	10.7292	client_2	accept	negative
222.752	3.2902	0.2788	0	18.9583	2.7292	client_1	accept	positive
235.252	3.2902	0.0818	0	5.9583	-16.2708	client_1	reject	positive
242.502	3.2902	-0.2742	0	19.9583	2.7292	client_2	accept	positive
250.752	3.2902	-0.1372	0	6.9583	10.7292	client_1	accept	positive
256.252	3.2902	0.1598	0	-4.0417	-2.2708	client_1	accept	positive
262.502	3.2902	-0.5492	0	-3.0417	14.7292	client_2	accept	positive
274.002	3.2902	-0.2582	0	13.9583	-18.2708	client_2	accept	negative
284.252	3.2902	-0.1542	0	1.9583	-13.2708	client_1	reject	positive
293.502	3.2902	-0.0672	0	18.9583	0.7292	client_2	accept	negative
299.502	3.2902	0.2608	0	-16.0417	-7.2708	client_1	reject	positive
307.002	3.2902	0.5168	0	-6.0417	-17.2708	client_2	reject	positive
316.002	3.2902	0.6088	0	12.9583	-17.2708	client_1	accept	positive
321.502	3.2902	-0.0922	0	2.9583	-26.2708	client_1	reject	positive
330.752	3.2902	-0.1412	0	9.9583	9.7292	client_2	accept	positive
337.002	3.2902	0.2188	0	0.9583	7.7292	client_1	accept	positive
343.252	3.2902	0.1198	0	-22.0417	8.7292	client_1	reject	positive
349.752	3.2902	0.1028	0	-1.0417	-10.2708	client_2	accept	negative
359.002	3.2902	-0.0462	0	-8.0417	-4.2708	client_1	reject	positive
365.752	3.2902	-0.0162	0	-24.0417	0.7292	client_1	reject	positive
372.502	3.2902	-0.1812	0	16.9583	1.7292	client_2	accept	negative
