onset	duration	normalized_rt	gains	losses	missing_trials	outcome
3.752	1.2273	0.7187	-6.0	7.0	0	accept
10.002	1.2273	0.2217	10.0	1.0	0	accept
13.752	1.2273	-0.2253	6.0	-1.0	0	accept
20.752	1.2273	0.5887	6.0	-3.0	0	accept
25.252	1.2273	0.0877	-6.0	5.0	0	accept
30.752	1.2273	-0.2793	2.0	3.0	0	accept
40.252	1.2273	-0.3303	-2.0	5.0	0	accept
44.002	1.2273	-0.2243	10.0	-3.0	0	accept
47.502	1.2273	0.2457	-2.0	-5.0	0	accept
53.502	1.2273	0.4617	-14.0	-3.0	0	reject
59.752	1.2273	-0.1713	2.0	-1.0	0	accept
63.502	1.2273	-0.4553	6.0	3.0	0	accept
70.252	1.2273	-0.3833	10.0	5.0	0	accept
76.502	1.2273	1.0497	-10.0	-1.0	0	reject
80.252	1.2273	-0.1513	14.0	-5.0	0	accept
84.752	1.2273	0.8177	-10.0	1.0	0	reject
91.752	1.2273	-0.2603	10.0	-1.0	0	accept
95.252	1.2273	0.9357	-14.0	5.0	0	accept
99.502	1.2273	-0.1923	2.0	7.0	0	accept
103.502	1.2273	-0.4413	6.0	5.0	0	accept
110.502	1.2273	0.4167	10.0	-7.0	0	accept
116.002	1.2273	0.1047	-2.0	-3.0	0	accept
120.002	1.2273	0.1007	-10.0	-3.0	0	reject
127.502	1.2273	0.2307	-6.0	1.0	0	accept
132.252	1.2273	-0.5423	6.0	7.0	0	accept
140.752	1.2273	0.8587	-6.0	-5.0	0	accept
145.002	1.2273	-0.3103	14.0	-7.0	0	accept
149.252	1.2273	-0.1453	-6.0	3.0	0	accept
153.502	1.2273	0.6747	-14.0	-7.0	0	reject
157.002	1.2273	0.1027	-10.0	-5.0	0	reject
163.252	1.2273	0.4297	-10.0	3.0	0	accept
166.752	1.2273	-0.1113	-2.0	7.0	0	accept
170.502	1.2273	-0.3333	6.0	1.0	0	accept
178.002	1.2273	-0.3433	14.0	-3.0	0	accept
182.752	1.2273	-0.3503	14.0	5.0	0	accept
186.502	1.2273	-0.6073	14.0	7.0	0	accept
192.502	1.2273	0.4077	-6.0	-3.0	0	accept
197.252	1.2273	0.1917	2.0	-5.0	0	accept
204.752	1.2273	-0.2213	-10.0	7.0	0	accept
209.002	1.2273	0.2877	-10.0	-7.0	0	reject
219.252	1.2273	-0.3813	10.0	7.0	0	accept
224.002	1.2273	0.0077	2.0	5.0	0	accept
229.752	1.2273	-0.6203	-2.0	3.0	0	accept
233.752	1.2273	-0.1083	-2.0	-1.0	0	accept
238.002	1.2273	0.0577	-2.0	-7.0	0	accept
242.252	1.2273	-0.0023	2.0	-7.0	0	accept
248.502	1.2273	-0.3833	14.0	1.0	0	accept
259.002	1.2273	-0.2043	6.0	-7.0	0	accept
263.002	1.2273	0.5187	-14.0	-5.0	0	reject
268.252	1.2273	-0.3203	14.0	3.0	0	accept
272.252	1.2273	-0.0383	2.0	1.0	0	accept
279.252	1.2273	0.6037	-6.0	-1.0	0	accept
284.502	1.2273	0.2637	-14.0	-1.0	0	reject
289.502	1.2273	-0.2973	10.0	3.0	0	accept
295.002	1.2273	1.2727	6.0	-5.0	1	n/a
299.502	1.2273	0.1127	-6.0	-7.0	0	reject
303.252	1.2273	-0.2633	-10.0	5.0	0	accept
313.752	1.2273	-0.3563	-2.0	1.0	0	accept
318.002	1.2273	0.0807	-14.0	3.0	0	reject
324.752	1.2273	-0.3033	-14.0	1.0	0	reject
331.752	1.2273	-0.4453	14.0	-1.0	0	accept
335.752	1.2273	-0.4233	2.0	-3.0	0	accept
345.502	1.2273	-0.2423	10.0	-5.0	0	accept
349.752	1.2273	-0.1083	-14.0	7.0	0	accept
