onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
5.002	3.0177	-0.0677	0	-4.7083	-18.6875	client_2	reject	positive
11.002	3.0177	-0.2697	0	-3.7083	11.3125	client_2	accept	positive
16.752	3.0177	-0.1927	0	-4.7083	-6.6875	client_1	reject	positive
24.752	3.0177	-0.0447	0	0.2917	-5.6875	client_1	reject	negative
32.002	3.0177	0.0973	0	15.2917	-19.6875	client_2	accept	negative
39.502	3.0177	-0.1437	0	-16.7083	3.3125	client_1	reject	positive
46.252	3.0177	-0.3387	0	-13.7083	18.3125	client_2	accept	positive
52.252	3.0177	0.1183	0	-22.7083	-0.6875	client_1	accept	negative
58.752	3.0177	-0.3127	0	22.2917	-0.6875	client_1	accept	positive
67.752	3.0177	-0.1537	0	-8.7083	-3.6875	client_1	reject	positive
77.002	3.0177	0.0453	0	3.2917	-8.6875	client_1	accept	positive
88.252	3.0177	-0.3217	0	25.2917	0.3125	client_2	accept	positive
96.252	3.0177	-0.3487	0	20.2917	-0.6875	client_2	accept	negative
102.002	3.0177	0.3723	0	0.2917	-23.6875	client_1	reject	positive
108.002	3.0177	0.4093	0	15.2917	1.3125	client_2	accept	negative
115.002	3.0177	0.1283	0	-14.7083	-8.6875	client_1	reject	positive
122.002	3.0177	0.1883	0	-4.7083	12.3125	client_2	accept	positive
129.002	3.0177	0.1133	0	4.2917	-27.6875	client_1	reject	positive
139.002	3.0177	0.3813	0	-24.7083	16.3125	client_1	accept	positive
145.752	3.0177	0.1083	0	-15.7083	16.3125	client_2	accept	positive
153.002	3.0177	-0.1047	0	13.2917	2.3125	client_2	accept	negative
159.002	3.0177	0.0573	0	10.2917	9.3125	client_2	accept	positive
166.752	3.0177	0.3323	0	1.2917	-6.6875	client_1	accept	positive
175.002	3.0177	-0.3127	0	-10.7083	17.3125	client_2	accept	positive
184.502	3.0177	-0.0457	0	-22.7083	9.3125	client_1	reject	positive
191.752	3.0177	-0.0667	0	-8.7083	13.3125	client_2	accept	positive
199.502	3.0177	0.0773	0	-16.7083	14.3125	client_2	accept	negative
206.002	3.0177	0.1883	0	-2.7083	-20.6875	client_1	accept	negative
212.502	3.0177	0.2503	0	15.2917	4.3125	client_2	accept	positive
219.002	3.0177	0.1103	0	0.2917	13.3125	client_1	accept	positive
225.752	3.0177	-0.2977	0	18.2917	3.3125	client_1	accept	positive
231.252	3.0177	-0.4237	0	-8.7083	16.3125	client_2	accept	positive
243.752	3.0177	-0.1967	0	9.2917	9.3125	client_1	accept	positive
251.252	3.0177	-0.3877	0	-5.7083	15.3125	client_2	accept	positive
257.002	3.0177	0.4043	0	-21.7083	-1.6875	client_2	reject	positive
266.002	3.0177	-0.0777	0	-18.7083	5.3125	client_2	reject	positive
275.502	3.0177	-0.3097	0	2.2917	12.3125	client_2	accept	positive
284.002	3.0177	0.3613	0	-4.7083	-1.6875	client_1	accept	positive
293.752	3.0177	0.1093	0	8.2917	-18.6875	client_2	reject	positive
302.752	3.0177	-0.1067	0	-22.7083	14.3125	client_1	accept	positive
309.502	3.0177	0.1163	0	9.2917	-13.6875	client_2	reject	positive
320.752	3.0177	0.1993	0	1.2917	-12.6875	client_1	reject	positive
329.002	3.0177	-0.2107	0	24.2917	0.3125	client_1	accept	positive
335.752	3.0177	0.1253	0	14.2917	-23.6875	client_1	reject	positive
342.002	3.0177	-0.3187	0	1.2917	7.3125	client_1	accept	positive
349.752	3.0177	0.0513	0	25.2917	-2.6875	client_2	accept	negative
356.252	3.0177	0.6303	0	22.2917	-0.6875	client_2	accept	negative
365.752	3.0177	0.0803	0	-4.7083	-18.6875	client_1	reject	positive
